iso_date_year_plus_one | dummy6_twoknob_c8_u8: acc=0.187
language_identification | dummy6_baseline: acc=0.000
language_identification | dummy6_twoknob_c0_u0: acc=0.000
language_identification | dummy6_twoknob_c0_u1: acc=0.000
language_identification | dummy6_twoknob_c0_u2: acc=0.013
language_identification | dummy6_twoknob_c0_u4: acc=0.060
language_identification | dummy6_twoknob_c0_u8: acc=0.007
language_identification | dummy6_twoknob_c1_u0: acc=0.000
language_identification | dummy6_twoknob_c1_u1: acc=0.000
language_identification | dummy6_twoknob_c1_u2: acc=0.133
language_identification | dummy6_twoknob_c1_u4: acc=0.300
language_identification | dummy6_twoknob_c1_u8: acc=0.073
language_identification | dummy6_twoknob_c2_u0: acc=0.007
language_identification | dummy6_twoknob_c2_u1: acc=0.000
language_identification | dummy6_twoknob_c2_u2: acc=0.173
language_identification | dummy6_twoknob_c2_u4: acc=0.400
language_identification | dummy6_twoknob_c2_u8: acc=0.207
language_identification | dummy6_twoknob_c4_u0: acc=0.000
language_identification | dummy6_twoknob_c4_u1: acc=0.013
language_identification | dummy6_twoknob_c4_u2: acc=0.233
language_identification | dummy6_twoknob_c4_u4: acc=0.380
language_identification | dummy6_twoknob_c4_u8: acc=0.360
