layer,position,r2_heldout_mean,r2_train_mean,best_alpha,alpha_pinned
8,d3_pre,0.5149,0.8966,3162.2776601683795,False
8,d3_first,0.5604,0.919,10000.0,False
8,d3_last,0.582,0.9375,10000.0,False
8,d4_pre,0.5681,0.9284,1000.0,False
8,d4_first,0.5723,0.9262,10000.0,False
8,d4_last,0.5891,0.9405,10000.0,False
8,d5_pre,0.5974,0.9362,1000.0,False
8,d5_first,0.5875,0.9304,10000.0,False
8,d5_last,0.5994,0.9431,10000.0,False
8,d6_pre,0.6149,0.9417,1000.0,False
8,d6_first,0.5927,0.9336,10000.0,False
8,d6_last,0.6057,0.9447,10000.0,False
8,d7_pre,0.6285,0.9449,1000.0,False
8,d7_first,0.5993,0.9359,10000.0,False
8,d7_last,0.6061,0.9454,10000.0,False
8,d8_pre,0.6382,0.9478,1000.0,False
8,d8_first,0.6003,0.9386,10000.0,False
8,d8_last,0.6094,0.9474,10000.0,False
8,d9_pre,0.6469,0.9499,1000.0,False
8,d9_first,0.6077,0.9395,10000.0,False
8,d9_last,0.6146,0.948,10000.0,False
8,d10_pre,0.6292,0.9334,316.22776601683796,False
8,d10_first,0.607,0.9378,10000.0,False
8,d10_last,0.6145,0.9458,10000.0,False
8,query_cue,0.5827,0.8724,316.22776601683796,False
9,d1_pre,-0.0406,0.266,100000.0,False
9,d1_first,0.4339,0.8465,31622.776601683792,False
9,d1_last,0.5047,0.9083,31622.776601683792,False
9,d2_pre,0.3923,0.8536,3162.2776601683795,False
9,d2_first,0.5241,0.889,31622.776601683792,False
9,d2_last,0.5534,0.9196,31622.776601683792,False
9,d3_pre,0.5395,0.9111,3162.2776601683795,False
9,d3_first,0.5647,0.9045,31622.776601683792,False
9,d3_last,0.5852,0.9384,10000.0,False
9,d4_pre,0.5884,0.9293,3162.2776601683795,False
9,d4_first,0.5858,0.9299,10000.0,False
9,d4_last,0.5945,0.9415,10000.0,False
9,d5_pre,0.6177,0.9385,3162.2776601683795,False
9,d5_first,0.6012,0.9339,10000.0,False
9,d5_last,0.6059,0.944,10000.0,False
9,d6_pre,0.6292,0.9427,1000.0,False
9,d6_first,0.6055,0.9368,10000.0,False
9,d6_last,0.6118,0.9456,10000.0,False
9,d7_pre,0.6431,0.945,1000.0,False
9,d7_first,0.6128,0.9387,10000.0,False
9,d7_last,0.6126,0.9461,10000.0,False
9,d8_pre,0.6498,0.947,1000.0,False
9,d8_first,0.6141,0.9412,10000.0,False
9,d8_last,0.6153,0.9481,10000.0,False
9,d9_pre,0.6602,0.9482,1000.0,False
9,d9_first,0.6203,0.9417,10000.0,False
9,d9_last,0.6205,0.9483,10000.0,False
9,d10_pre,0.6637,0.9467,1000.0,False
9,d10_first,0.6204,0.9397,10000.0,False
9,d10_last,0.6219,0.946,10000.0,False
9,query_cue,0.5867,0.8532,316.2277660168379,False
10,d1_pre,-0.0549,0.283,100000.0,False
10,d1_first,0.4095,0.7864,100000.0,False
10,d1_last,0.5111,0.912,31622.776601683792,False
10,d2_pre,0.3897,0.8609,3162.2776601683795,False
10,d2_first,0.5312,0.8957,31622.776601683792,False
10,d2_last,0.56,0.9239,31622.776601683792,False
10,d3_pre,0.5478,0.9169,3162.2776601683795,False
10,d3_first,0.575,0.9115,31622.776601683792,False
10,d3_last,0.5896,0.9325,31622.776601683792,False
10,d4_pre,0.5971,0.9347,3162.2776601683795,False
10,d4_first,0.593,0.9321,10000.0,False
10,d4_last,0.5994,0.9422,10000.0,False
10,d5_pre,0.6266,0.9434,3162.2776601683795,False
10,d5_first,0.609,0.936,10000.0,False
10,d5_last,0.612,0.9448,10000.0,False
10,d6_pre,0.6403,0.9488,3162.2776601683795,False
10,d6_first,0.6134,0.9386,10000.0,False
10,d6_last,0.617,0.9462,10000.0,False
10,d7_pre,0.6455,0.9443,1000.0,False
10,d7_first,0.6208,0.9403,10000.0,False
10,d7_last,0.6193,0.9466,10000.0,False
10,d8_pre,0.6516,0.9459,1000.0,False
10,d8_first,0.6216,0.9427,10000.0,False
10,d8_last,0.6223,0.9485,10000.0,False
10,d9_pre,0.6609,0.9468,1000.0,False
10,d9_first,0.628,0.9428,10000.0,False
10,d9_last,0.6272,0.9485,10000.0,False
10,d10_pre,0.6653,0.9449,1000.0,False
10,d10_first,0.6286,0.9405,10000.0,False
10,d10_last,0.6286,0.9459,10000.0,False
10,query_cue,0.5673,0.8379,316.2277660168379,False
11,d1_pre,-0.0536,0.2904,100000.0,False
11,d1_first,0.4164,0.7955,100000.0,False
11,d1_last,0.5138,0.9153,31622.776601683792,False
11,d2_pre,0.4147,0.8714,3162.2776601683795,False
11,d2_first,0.5361,0.8996,31622.776601683792,False
11,d2_last,0.5654,0.9272,31622.776601683792,False
11,d3_pre,0.561,0.9218,3162.2776601683795,False
11,d3_first,0.5806,0.9155,31622.776601683792,False
11,d3_last,0.5961,0.9355,31622.776601683792,False
11,d4_pre,0.6056,0.9379,3162.2776601683795,False
11,d4_first,0.5946,0.9318,10000.0,False
11,d4_last,0.6025,0.9418,10000.0,False
11,d5_pre,0.632,0.9454,3162.2776601683795,False
11,d5_first,0.611,0.9353,10000.0,False
11,d5_last,0.6158,0.9441,10000.0,False
11,d6_pre,0.6434,0.9501,3162.2776601683795,False
11,d6_first,0.6147,0.9375,10000.0,False
11,d6_last,0.6194,0.9453,10000.0,False
11,d7_pre,0.643,0.9428,1000.0,False
11,d7_first,0.6207,0.9389,10000.0,False
11,d7_last,0.621,0.9456,10000.0,False
11,d8_pre,0.647,0.944,1000.0,False
11,d8_first,0.621,0.9412,10000.0,False
11,d8_last,0.6234,0.9473,10000.0,False
11,d9_pre,0.6556,0.9448,1000.0,False
11,d9_first,0.627,0.9412,10000.0,False
11,d9_last,0.6282,0.9472,10000.0,False
11,d10_pre,0.66,0.9425,1000.0,False
11,d10_first,0.6283,0.9384,10000.0,False
11,d10_last,0.6292,0.9443,10000.0,False
11,query_cue,0.5418,0.8212,316.2277660168379,False
12,d1_pre,-0.0797,0.3222,100000.0,False
12,d1_first,0.4241,0.8058,100000.0,False
12,d1_last,0.5152,0.918,31622.776601683792,False
12,d2_pre,0.4466,0.8631,10000.0,False
12,d2_first,0.547,0.9066,31622.776601683792,False
12,d2_last,0.5714,0.9299,31622.776601683792,False
12,d3_pre,0.588,0.9185,10000.0,False
12,d3_first,0.592,0.9221,31622.776601683792,False
12,d3_last,0.6035,0.9382,31622.776601683792,False
12,d4_pre,0.6283,0.9419,3162.2776601683795,False
12,d4_first,0.6064,0.9289,31622.776601683792,False
12,d4_last,0.6129,0.9414,31622.776601683792,False
12,d5_pre,0.6526,0.9479,3162.2776601683795,False
12,d5_first,0.6177,0.9368,10000.0,False
12,d5_last,0.6196,0.9436,10000.0,False
12,d6_pre,0.6635,0.9515,3162.2776601683795,False
12,d6_first,0.6205,0.9386,10000.0,False
12,d6_last,0.6219,0.9445,10000.0,False
12,d7_pre,0.6747,0.9539,3162.2776601683795,False
12,d7_first,0.6256,0.9399,10000.0,False
12,d7_last,0.6235,0.9448,10000.0,False
12,d8_pre,0.6797,0.9556,3162.2776601683795,False
12,d8_first,0.6257,0.942,10000.0,False
12,d8_last,0.6269,0.9464,10000.0,False
12,d9_pre,0.6689,0.9393,1000.0,False
12,d9_first,0.6323,0.9419,10000.0,False
12,d9_last,0.6309,0.9462,10000.0,False
12,d10_pre,0.675,0.9364,1000.0,False
12,d10_first,0.6336,0.9389,10000.0,False
12,d10_last,0.6322,0.943,10000.0,False
12,query_cue,0.557,0.7981,316.2277660168379,False
13,d1_pre,-0.1083,0.3502,100000.0,False
13,d1_first,0.4302,0.8157,100000.0,False
13,d1_last,0.515,0.9202,31622.776601683792,False
13,d2_pre,0.4471,0.8712,10000.0,False
13,d2_first,0.5504,0.9104,31622.776601683792,False
13,d2_last,0.5726,0.9313,31622.776601683792,False
13,d3_pre,0.5899,0.9201,10000.0,False
13,d3_first,0.5942,0.9248,31622.776601683792,False
13,d3_last,0.6043,0.9391,31622.776601683792,False
13,d4_pre,0.6238,0.9353,10000.0,False
13,d4_first,0.608,0.931,31622.776601683792,False
13,d4_last,0.6137,0.9421,31622.776601683792,False
13,d5_pre,0.6453,0.9417,3162.2776601683795,False
