doc_id,words_en,words_es,ratio,em_dash,double_space,curly,allcaps_sent,paras_en,paras_es
msc016_2,347,369,1.063,0,0,0,0,2,2
msc016_3,288,331,1.149,0,0,0,0,1,1
msc017_0,268,301,1.123,0,0,0,0,1,1
msc017_1,404,435,1.077,0,0,0,0,2,2
msc017_2,257,280,1.089,0,0,0,0,1,1
msc017_3,311,348,1.119,0,0,0,0,1,1
msc018_0,355,416,1.172,0,0,0,0,2,2
msc018_1,448,511,1.141,0,0,0,0,1,1
msc018_2,319,379,1.188,0,0,0,0,2,2
msc018_3,324,389,1.201,0,0,0,0,1,1
msc019_0,306,341,1.114,0,0,0,0,1,1
msc019_1,393,432,1.099,0,0,0,0,2,2
msc019_2,337,367,1.089,0,0,0,0,1,1
msc019_3,341,371,1.088,0,0,0,0,1,1
msc020_0,373,456,1.223,0,0,0,0,1,1
msc020_1,337,386,1.145,0,0,0,0,1,1
msc020_2,318,363,1.142,0,0,0,0,1,1
msc020_3,323,363,1.124,0,0,0,0,1,1
msc021_0,434,497,1.145,0,0,0,0,2,2
msc021_1,320,368,1.15,0,0,0,0,2,2
msc021_2,324,384,1.185,0,0,0,0,1,1
msc021_3,279,344,1.233,0,0,0,0,1,1
msc022_0,410,445,1.085,0,0,0,0,2,2
msc022_1,505,543,1.075,0,0,0,0,2,2
msc022_2,389,401,1.031,0,0,0,0,2,2
msc022_3,462,516,1.117,0,0,0,0,1,1
msc023_0,365,422,1.156,0,0,0,0,2,2
msc023_1,379,443,1.169,0,0,0,0,2,2
msc023_2,375,452,1.205,0,0,0,0,2,2
msc023_3,408,482,1.181,0,0,0,0,2,2
msc024_0,392,399,1.018,0,0,0,0,1,1
msc024_1,401,431,1.075,0,0,0,0,1,1
msc024_2,381,406,1.066,0,0,0,0,1,1
msc024_3,362,379,1.047,0,0,0,0,2,2
msc025_0,402,451,1.122,0,0,0,0,2,2
msc025_1,333,380,1.141,0,0,0,0,1,1
msc025_2,347,398,1.147,0,0,0,0,1,1
msc025_3,370,423,1.143,0,0,0,0,1,1
msc026_0,385,447,1.161,0,0,0,0,2,2
msc026_1,445,524,1.178,0,0,0,0,2,2
msc026_2,455,514,1.13,0,0,0,0,2,2
msc026_3,383,432,1.128,0,0,0,0,1,1
msc027_0,327,340,1.04,0,0,0,0,1,1
msc027_1,312,348,1.115,0,0,0,0,1,1
msc027_2,402,422,1.05,0,0,0,0,2,2
msc027_3,347,382,1.101,0,0,0,0,1,1
msc028_0,369,410,1.111,0,0,0,0,2,2
msc028_1,394,467,1.185,0,0,0,0,1,1
msc028_2,367,418,1.139,0,0,0,0,1,1
msc028_3,344,380,1.105,0,0,0,0,2,2
msc029_0,374,413,1.104,0,0,0,0,2,2
msc029_1,370,408,1.103,0,0,0,0,1,1
msc029_2,290,297,1.024,0,0,0,0,1,1
msc029_3,293,324,1.106,0,0,0,0,1,1
num000_0,334,389,1.165,0,0,0,0,1,1
num000_1,298,360,1.208,0,0,0,0,1,1
num000_2,313,377,1.204,0,0,0,0,1,1
num000_3,335,410,1.224,0,0,0,0,1,1
num001_0,278,336,1.209,0,0,0,0,1,1
num001_1,337,417,1.237,0,0,0,0,1,1
num001_2,298,338,1.134,0,0,0,0,1,1
num001_3,368,422,1.147,0,0,0,0,1,1
