family,arm,alpha,margin_unsteered,margin_cf,margin_steered,alt_top_unsteered,alt_top_cf,alt_top_steered
js_arrow,read,0.5,-6.3046875,-4.9453125,-5.590624809265137,0.075,0.025,0.075
js_arrow,read,1.0,-6.3046875,-4.9453125,-4.75,0.075,0.025,0.075
js_arrow,read,2.0,-6.3046875,-4.9453125,-2.6703124046325684,0.075,0.025,0.075
js_arrow,read,4.0,-6.3046875,-4.9453125,1.0906250476837158,0.075,0.025,0.775
js_arrow,read,8.0,-6.3046875,-4.9453125,2.66796875,0.075,0.025,0.95
js_hungarian,read,0.5,-5.782031059265137,-4.556250095367432,-5.571093559265137,0.05,0.025,0.05
js_hungarian,read,1.0,-5.782031059265137,-4.556250095367432,-5.154687404632568,0.05,0.025,0.075
js_hungarian,read,2.0,-5.782031059265137,-4.556250095367432,-2.797656297683716,0.05,0.025,0.2
js_hungarian,read,4.0,-5.782031059265137,-4.556250095367432,1.5304687023162842,0.05,0.025,0.7
js_hungarian,read,8.0,-5.782031059265137,-4.556250095367432,2.2632813453674316,0.05,0.025,0.825
js_hungarian,ctrl_family,0.5,-5.782031059265137,-4.556250095367432,-5.767968654632568,0.05,0.025,0.05
js_hungarian,ctrl_family,1.0,-5.782031059265137,-4.556250095367432,-5.703125,0.05,0.025,0.05
js_hungarian,ctrl_family,2.0,-5.782031059265137,-4.556250095367432,-5.486718654632568,0.05,0.025,0.05
js_hungarian,ctrl_family,4.0,-5.782031059265137,-4.556250095367432,-4.870312690734863,0.05,0.025,0.075
js_hungarian,ctrl_family,8.0,-5.782031059265137,-4.556250095367432,-4.473437309265137,0.05,0.025,0.075
js_hungarian,ctrl_random,0.5,-5.782031059265137,-4.556250095367432,-5.771093845367432,0.05,0.025,0.05
js_hungarian,ctrl_random,1.0,-5.782031059265137,-4.556250095367432,-5.750781059265137,0.05,0.025,0.05
js_hungarian,ctrl_random,2.0,-5.782031059265137,-4.556250095367432,-5.65234375,0.05,0.025,0.025
js_hungarian,ctrl_random,4.0,-5.782031059265137,-4.556250095367432,-5.440625190734863,0.05,0.025,0.025
js_hungarian,ctrl_random,8.0,-5.782031059265137,-4.556250095367432,-5.375781059265137,0.05,0.025,0.075
bash_test,read,0.5,-6.015625,-4.579687595367432,-4.1875,0.0,0.05,0.0
bash_test,read,1.0,-6.015625,-4.579687595367432,-0.31718748807907104,0.0,0.05,0.45
bash_test,read,2.0,-6.015625,-4.579687595367432,4.6875,0.0,0.05,0.95
bash_test,read,4.0,-6.015625,-4.579687595367432,6.171875,0.0,0.05,0.95
bash_test,read,8.0,-6.015625,-4.579687595367432,4.571875095367432,0.0,0.05,0.95
js_quotes,read,0.5,-4.700781345367432,-4.529687404632568,-1.5968749523162842,0.025,0.0,0.1
js_quotes,read,1.0,-4.700781345367432,-4.529687404632568,2.989062547683716,0.025,0.0,0.95
js_quotes,read,2.0,-4.700781345367432,-4.529687404632568,4.766406059265137,0.025,0.0,0.975
js_quotes,read,4.0,-4.700781345367432,-4.529687404632568,5.025781154632568,0.025,0.0,0.975
js_quotes,read,8.0,-4.700781345367432,-4.529687404632568,3.7867188453674316,0.025,0.0,0.975
js_quotes,ctrl_family,0.5,-4.700781345367432,-4.529687404632568,-5.155468940734863,0.025,0.0,0.025
js_quotes,ctrl_family,1.0,-4.700781345367432,-4.529687404632568,-5.349218845367432,0.025,0.0,0.0
