icl_example_index,token_role,layer,k,train_sample_count,test_sample_count,train_mse,test_mse
3,pre_label_token,15,5,2600,1170,8.356866836547852,12.452370643615723
3,pre_label_token,16,5,2600,1170,8.134988784790039,11.393867492675781
3,pre_label_token,17,5,2600,1170,8.96834945678711,11.980979919433594
3,pre_label_token,18,5,2600,1170,8.730578422546387,11.34890079498291
3,pre_label_token,19,5,2600,1170,8.79074478149414,12.341464042663574
3,pre_label_token,20,5,2600,1170,9.455940246582031,12.425354957580566
3,pre_label_token,21,5,2600,1170,9.54778003692627,11.310125350952148
3,pre_label_token,22,5,2600,1170,9.935934066772461,11.175145149230957
3,pre_label_token,23,5,2600,1170,10.362939834594727,11.478490829467773
3,pre_label_token,24,5,2600,1170,10.499530792236328,11.737024307250977
3,pre_label_token,25,5,2600,1170,11.140439987182617,12.247709274291992
3,pre_label_token,26,5,2600,1170,11.972782135009766,13.025059700012207
3,pre_label_token,27,5,2600,1170,12.334152221679688,15.407444953918457
3,pre_label_token,28,5,2600,1170,14.515995025634766,19.922868728637695
3,first_label_token,0,5,2600,1170,41.88711166381836,26.39746856689453
3,first_label_token,1,5,2600,1170,34.776676177978516,22.333087921142578
3,first_label_token,2,5,2600,1170,33.5644645690918,20.979101181030273
3,first_label_token,3,5,2600,1170,29.177766799926758,19.38766860961914
3,first_label_token,4,5,2600,1170,24.383337020874023,18.428661346435547
3,first_label_token,5,5,2600,1170,20.699174880981445,16.974454879760742
3,first_label_token,6,5,2600,1170,18.306011199951172,15.822267532348633
3,first_label_token,7,5,2600,1170,19.610733032226562,15.058176040649414
3,first_label_token,8,5,2600,1170,19.53389549255371,14.952625274658203
3,first_label_token,9,5,2600,1170,16.052204132080078,12.904145240783691
3,first_label_token,10,5,2600,1170,14.144923210144043,10.782883644104004
3,first_label_token,11,5,2600,1170,13.512306213378906,10.795736312866211
3,first_label_token,12,5,2600,1170,12.821154594421387,11.538865089416504
3,first_label_token,13,5,2600,1170,12.290670394897461,13.143324851989746
3,first_label_token,14,5,2600,1170,12.716150283813477,13.211588859558105
3,first_label_token,15,5,2600,1170,12.27795696258545,13.903031349182129
3,first_label_token,16,5,2600,1170,12.310885429382324,13.568354606628418
3,first_label_token,17,5,2600,1170,13.253244400024414,14.06329345703125
3,first_label_token,18,5,2600,1170,13.563404083251953,14.920654296875
3,first_label_token,19,5,2600,1170,13.814050674438477,16.3218936920166
3,first_label_token,20,5,2600,1170,13.666487693786621,16.061325073242188
3,first_label_token,21,5,2600,1170,13.195686340332031,17.22937774658203
3,first_label_token,22,5,2600,1170,13.10965347290039,17.636022567749023
3,first_label_token,23,5,2600,1170,13.600610733032227,17.417985916137695
3,first_label_token,24,5,2600,1170,13.763361930847168,17.679882049560547
3,first_label_token,25,5,2600,1170,14.285067558288574,19.244976043701172
3,first_label_token,26,5,2600,1170,14.609121322631836,20.287500381469727
3,first_label_token,27,5,2600,1170,15.02969741821289,21.198591232299805
3,first_label_token,28,5,2600,1170,16.799283981323242,22.460397720336914
3,last_label_token,0,5,2600,1170,40.41190719604492,27.1538143157959
3,last_label_token,1,5,2600,1170,31.1478271484375,21.268665313720703
3,last_label_token,2,5,2600,1170,30.22245216369629,21.13681411743164
3,last_label_token,3,5,2600,1170,28.107650756835938,20.004150390625
3,last_label_token,4,5,2600,1170,25.3900146484375,18.27910614013672
3,last_label_token,5,5,2600,1170,21.4844970703125,14.737337112426758
3,last_label_token,6,5,2600,1170,17.222034454345703,14.468517303466797
3,last_label_token,7,5,2600,1170,15.637112617492676,14.180931091308594
3,last_label_token,8,5,2600,1170,15.02313232421875,15.8189058303833
3,last_label_token,9,5,2600,1170,12.744316101074219,12.673309326171875
3,last_label_token,10,5,2600,1170,11.682019233703613,11.251117706298828
3,last_label_token,11,5,2600,1170,11.985431671142578,10.677225112915039
3,last_label_token,12,5,2600,1170,11.718528747558594,10.681622505187988
3,last_label_token,13,5,2600,1170,11.405324935913086,12.432622909545898
3,last_label_token,14,5,2600,1170,11.269211769104004,12.350175857543945
3,last_label_token,15,5,2600,1170,11.96640396118164,13.748624801635742
3,last_label_token,16,5,2600,1170,11.57304573059082,13.545454025268555
3,last_label_token,17,5,2600,1170,12.236573219299316,14.558648109436035
3,last_label_token,18,5,2600,1170,12.514189720153809,14.571290016174316
