family,direction,context,target,k_ctx,layer,alpha,n,accuracy,ci_lo,ci_hi,style_only,context_style,unscorable,judge_ok,unsteered_accuracy,unsteered_ci_lo,unsteered_ci_hi,unsteered_judge_ok,cf_accuracy,reference,reach,pass_50,sig_vs_unsteered
py_indent,nat2alt,nat,alt,1,0,1.0,200,0.6,0.531,0.665,0.66,0.335,0.005,0.855,0.0,0.0,0.019,0.94,,0.59,1.017,True,True
py_tabs,alt2nat,alt,nat,1,0,4.0,200,0.73,0.665,0.787,0.855,0.005,0.14,0.84,0.015,0.005,0.043,0.89,,0.965,0.756,True,True
py_tabs,nat2alt,nat,alt,1,4,2.0,200,0.805,0.745,0.854,0.955,0.04,0.005,0.845,0.0,0.0,0.019,0.945,,0.88,0.915,True,True
operator_spaces,alt2nat,alt,nat,1,3,2.0,187,0.743,0.676,0.801,0.807,0.08,0.112,0.925,0.337,0.273,0.407,0.904,,0.834,0.891,True,True
operator_spaces,nat2alt,nat,alt,1,9,4.0,187,0.54,0.469,0.61,0.61,0.23,0.16,0.898,0.048,0.026,0.089,0.957,,0.497,1.087,True,True
comma_space,alt2nat,alt,nat,1,2,1.0,191,0.738,0.672,0.795,0.796,0.037,0.168,0.906,0.487,0.417,0.557,0.885,,0.786,0.939,True,True
comma_space,nat2alt,nat,alt,1,5,4.0,192,0.349,0.285,0.419,0.417,0.417,0.167,0.859,0.016,0.005,0.045,0.885,,0.245,1.424,True,True
line_wrap,alt2nat,alt,nat,1,5,4.0,199,0.106,0.07,0.156,0.136,0.342,0.523,0.824,0.0,0.0,0.019,0.874,,0.145,0.731,True,True
line_wrap,nat2alt,nat,alt,1,2,4.0,200,0.365,0.301,0.434,0.44,0.005,0.555,0.82,0.37,0.306,0.439,0.9,,0.45,0.811,True,False
blank_lines,alt2nat,alt,nat,1,22,2.0,142,0.683,0.603,0.754,0.782,0.063,0.155,0.775,0.014,0.004,0.05,0.817,,0.669,1.021,True,True
blank_lines,nat2alt,nat,alt,1,4,1.0,142,0.754,0.677,0.817,0.866,0.049,0.085,0.81,0.092,0.054,0.15,0.803,,0.789,0.956,True,True
docstring_style,alt2nat,alt,nat,1,5,4.0,199,0.819,0.76,0.866,0.884,0.045,0.07,0.925,0.04,0.021,0.077,0.99,,0.93,0.881,True,True
docstring_style,nat2alt,nat,alt,1,5,4.0,199,0.704,0.637,0.763,0.884,0.025,0.09,0.789,0.0,0.0,0.019,0.985,,0.955,0.737,True,True
docstring_quotes,alt2nat,alt,nat,1,0,1.0,200,0.87,0.816,0.91,0.975,0.0,0.025,0.875,0.0,0.0,0.019,0.955,,0.925,0.941,True,True
docstring_quotes,nat2alt,nat,alt,1,1,1.0,200,0.905,0.856,0.938,0.965,0.0,0.035,0.91,0.0,0.0,0.019,0.92,,0.905,1.0,True,True
comment_case,alt2nat,alt,nat,1,2,1.0,200,0.56,0.491,0.627,0.63,0.03,0.34,0.84,0.09,0.058,0.138,0.87,,0.595,0.941,True,True
comment_case,nat2alt,nat,alt,1,4,2.0,200,0.49,0.422,0.559,0.53,0.125,0.345,0.885,0.01,0.003,0.036,0.885,,0.53,0.925,True,True
comment_language,alt2nat,alt,nat,1,17,2.0,200,0.51,0.441,0.578,0.55,0.035,0.415,0.9,0.045,0.024,0.083,0.94,,0.695,0.734,True,True
comment_language,nat2alt,nat,alt,1,2,2.0,200,0.21,0.159,0.272,0.445,0.175,0.38,0.565,0.0,0.0,0.019,0.97,,0.565,0.372,False,True
c_comment_style,alt2nat,alt,nat,1,5,2.0,200,0.455,0.387,0.524,0.645,0.0,0.355,0.615,0.05,0.027,0.09,0.915,,0.645,0.705,True,True
c_comment_style,nat2alt,nat,alt,1,19,2.0,200,0.535,0.466,0.603,0.595,0.11,0.295,0.815,0.0,0.0,0.019,0.89,,0.5,1.07,True,True
sql_keyword_case,alt2nat,alt,nat,1,2,1.0,200,0.92,0.874,0.95,1.0,0.0,0.0,0.92,0.03,0.014,0.064,0.85,,0.945,0.974,True,True
sql_keyword_case,nat2alt,nat,alt,1,3,2.0,200,0.865,0.811,0.906,0.945,0.045,0.01,0.92,0.005,0.001,0.028,0.935,,0.785,1.102,True,True
sql_join_style,alt2nat,alt,nat,1,3,4.0,183,0.787,0.722,0.84,0.825,0.005,0.169,0.945,0.022,0.009,0.055,0.929,,0.77,1.022,True,True
sql_join_style,nat2alt,nat,alt,1,8,4.0,183,0.475,0.404,0.548,0.617,0.055,0.328,0.754,0.0,0.0,0.021,0.978,,0.683,0.695,True,True
r_assignment,alt2nat,alt,nat,1,1,2.0,200,0.84,0.783,0.884,0.98,0.02,0.0,0.86,0.09,0.058,0.138,0.855,,0.815,1.031,True,True
r_assignment,nat2alt,nat,alt,1,15,2.0,200,0.705,0.638,0.764,0.855,0.035,0.11,0.82,0.06,0.035,0.102,0.86,,0.63,1.119,True,True
rust_question,alt2nat,alt,nat,1,13,4.0,165,0.533,0.457,0.608,0.6,0.042,0.358,0.842,0.042,0.021,0.085,0.824,,0.703,0.758,True,True
rust_question,nat2alt,nat,alt,1,0,0.5,163,0.031,0.013,0.07,0.031,0.706,0.264,0.939,0.012,0.003,0.044,0.914,,0.703,0.044,False,True
bash_test,alt2nat,alt,nat,1,17,2.0,200,0.845,0.788,0.889,0.87,0.0,0.13,0.965,0.025,0.011,0.057,0.98,,0.865,0.977,True,True
bash_test,nat2alt,nat,alt,1,4,2.0,200,0.875,0.822,0.914,0.895,0.01,0.095,0.975,0.0,0.0,0.019,0.985,,0.875,1.0,True,True
php_array,alt2nat,alt,nat,1,2,2.0,193,0.358,0.293,0.427,0.399,0.067,0.534,0.85,0.083,0.052,0.13,0.881,,0.368,0.973,True,True
php_array,nat2alt,nat,alt,1,3,4.0,193,0.321,0.259,0.39,0.404,0.078,0.518,0.746,0.052,0.028,0.093,0.876,,0.425,0.755,True,True
