family,direction,layer,alpha,target_rate,unsteered
brit_t_past,alt2nat,11,1.0,0.6,0.5
brit_t_past,alt2nat,11,2.0,0.64,0.5
brit_t_past,alt2nat,11,4.0,0.64,0.5
brit_t_past,alt2nat,12,0.5,0.56,0.5
brit_t_past,alt2nat,12,1.0,0.56,0.5
brit_t_past,alt2nat,12,2.0,0.52,0.5
brit_t_past,alt2nat,12,4.0,0.6,0.5
brit_t_past,alt2nat,13,0.5,0.56,0.5
brit_t_past,alt2nat,13,1.0,0.64,0.5
brit_t_past,alt2nat,13,2.0,0.68,0.5
brit_t_past,alt2nat,13,4.0,0.58,0.5
brit_t_past,alt2nat,14,0.5,0.54,0.5
brit_t_past,alt2nat,14,1.0,0.54,0.5
brit_t_past,alt2nat,14,2.0,0.6,0.5
brit_t_past,alt2nat,14,4.0,0.64,0.5
brit_t_past,alt2nat,15,0.5,0.64,0.5
brit_t_past,alt2nat,15,1.0,0.54,0.5
brit_t_past,alt2nat,15,2.0,0.66,0.5
brit_t_past,alt2nat,15,4.0,0.58,0.5
brit_t_past,alt2nat,16,0.5,0.56,0.5
brit_t_past,alt2nat,16,1.0,0.62,0.5
brit_t_past,alt2nat,16,2.0,0.54,0.5
brit_t_past,alt2nat,16,4.0,0.54,0.5
brit_t_past,alt2nat,17,0.5,0.46,0.5
brit_t_past,alt2nat,17,1.0,0.62,0.5
brit_t_past,alt2nat,17,2.0,0.56,0.5
brit_t_past,alt2nat,17,4.0,0.54,0.5
brit_t_past,alt2nat,18,0.5,0.64,0.5
brit_t_past,alt2nat,18,1.0,0.62,0.5
brit_t_past,alt2nat,18,2.0,0.56,0.5
brit_t_past,alt2nat,18,4.0,0.66,0.5
brit_t_past,alt2nat,19,0.5,0.58,0.5
brit_t_past,alt2nat,19,1.0,0.54,0.5
brit_t_past,alt2nat,19,2.0,0.54,0.5
brit_t_past,alt2nat,19,4.0,0.62,0.5
brit_t_past,alt2nat,20,0.5,0.54,0.5
brit_t_past,alt2nat,20,1.0,0.52,0.5
brit_t_past,alt2nat,20,2.0,0.56,0.5
brit_t_past,alt2nat,20,4.0,0.56,0.5
brit_t_past,alt2nat,21,0.5,0.56,0.5
brit_t_past,alt2nat,21,1.0,0.58,0.5
brit_t_past,alt2nat,21,2.0,0.54,0.5
brit_t_past,alt2nat,21,4.0,0.58,0.5
brit_t_past,alt2nat,22,0.5,0.48,0.5
brit_t_past,alt2nat,22,1.0,0.48,0.5
brit_t_past,alt2nat,22,2.0,0.48,0.5
brit_t_past,alt2nat,22,4.0,0.48,0.5
brit_t_past,alt2nat,23,0.5,0.56,0.5
brit_t_past,alt2nat,23,1.0,0.52,0.5
brit_t_past,alt2nat,23,2.0,0.52,0.5
brit_t_past,alt2nat,23,4.0,0.62,0.5
brit_t_past,alt2nat,24,0.5,0.42,0.5
brit_t_past,alt2nat,24,1.0,0.52,0.5
