icl_example_index,token_role,layer,activation_k,fv_k,feature_dim,train_sample_count,test_sample_count,pca_train_mse,pca_test_mse,fv_train_mse,fv_test_mse,fv_recon_floor_test_mse
1,last_label_token,20,32,16,48,2600,1170,2.4033005237579346,5.154489517211914,0.03318275883793831,0.2537228465080261,0.1967194378376007
1,last_label_token,21,32,16,48,2600,1170,2.433793306350708,5.382614612579346,0.03353014588356018,0.25617149472236633,0.1967194378376007
1,last_label_token,22,32,16,48,2600,1170,2.4705286026000977,5.475203037261963,0.033930834382772446,0.2572687268257141,0.1967194378376007
1,last_label_token,23,32,16,48,2600,1170,2.4823310375213623,5.640711307525635,0.03409033641219139,0.2593604326248169,0.1967194378376007
1,last_label_token,24,32,16,48,2600,1170,2.496377468109131,5.746286869049072,0.03424076363444328,0.26077204942703247,0.1967194378376007
1,last_label_token,25,32,16,48,2600,1170,2.5062246322631836,5.787148475646973,0.034327175468206406,0.2612861096858978,0.1967194378376007
1,last_label_token,26,32,16,48,2600,1170,2.5241305828094482,5.890963554382324,0.03449717164039612,0.2623828947544098,0.1967194378376007
1,last_label_token,27,32,16,48,2600,1170,2.5685088634490967,6.1788530349731445,0.03498626872897148,0.26536691188812256,0.1967194378376007
1,last_label_token,28,32,16,48,2600,1170,2.600909471511841,6.192159175872803,0.035305559635162354,0.2653000056743622,0.1967194378376007
2,pre_label_token,0,32,16,48,2600,1170,219.55435180664062,261.9427795410156,2.521834373474121,3.212959051132202,0.1967194378376007
2,pre_label_token,1,32,16,48,2600,1170,8.49427604675293,9.813628196716309,0.10386494547128677,0.3087140619754791,0.1967194378376007
2,pre_label_token,2,32,16,48,2600,1170,7.448923587799072,9.679367065429688,0.09180065244436264,0.3072768449783325,0.1967194378376007
2,pre_label_token,3,32,16,48,2600,1170,6.46860933303833,10.136114120483398,0.08044511079788208,0.3125355541706085,0.1967194378376007
2,pre_label_token,4,32,16,48,2600,1170,4.593122482299805,9.541829109191895,0.05858638882637024,0.30479809641838074,0.1967194378376007
2,pre_label_token,5,32,16,48,2600,1170,4.376646518707275,8.840615272521973,0.05497566983103752,0.2915973663330078,0.1967194378376007
2,pre_label_token,6,32,16,48,2600,1170,3.786386013031006,8.497032165527344,0.04826458916068077,0.28813594579696655,0.1967194378376007
2,pre_label_token,7,32,16,48,2600,1170,3.5466113090515137,8.078890800476074,0.04459412768483162,0.2794259488582611,0.1967194378376007
2,pre_label_token,8,32,16,48,2600,1170,3.4345335960388184,7.729209899902344,0.043557602912187576,0.2780771255493164,0.1967194378376007
2,pre_label_token,9,32,16,48,2600,1170,3.1384072303771973,7.37237024307251,0.03822993487119675,0.26160866022109985,0.1967194378376007
2,pre_label_token,10,32,16,48,2600,1170,3.0329511165618896,7.225505352020264,0.037074483931064606,0.2593139410018921,0.1967194378376007
2,pre_label_token,11,32,16,48,2600,1170,2.996574878692627,6.957968711853027,0.03746595233678818,0.2614475190639496,0.1967194378376007
2,pre_label_token,12,32,16,48,2600,1170,2.8583827018737793,6.937229633331299,0.03616603836417198,0.26060950756073,0.1967194378376007
2,pre_label_token,13,32,16,48,2600,1170,2.793001890182495,7.1300249099731445,0.03480339050292969,0.2603915333747864,0.1967194378376007
2,pre_label_token,14,32,16,48,2600,1170,3.0382490158081055,7.459387302398682,0.03635244071483612,0.25831592082977295,0.1967194378376007
2,pre_label_token,15,32,16,48,2600,1170,2.914858818054199,7.016242504119873,0.03610792011022568,0.25758203864097595,0.1967194378376007
2,pre_label_token,16,32,16,48,2600,1170,2.9008662700653076,7.368133068084717,0.03569669649004936,0.2593730092048645,0.1967194378376007
2,pre_label_token,17,32,16,48,2600,1170,3.075892210006714,7.398880481719971,0.03738170489668846,0.26169323921203613,0.1967194378376007
2,pre_label_token,18,32,16,48,2600,1170,3.028862714767456,7.093745708465576,0.037228453904390335,0.26031294465065,0.1967194378376007
2,pre_label_token,19,32,16,48,2600,1170,3.1109158992767334,7.194705486297607,0.03807362914085388,0.2608511745929718,0.1967194378376007
2,pre_label_token,20,32,16,48,2600,1170,3.2874205112457275,6.972202777862549,0.04041699320077896,0.26194319128990173,0.1967194378376007
2,pre_label_token,21,32,16,48,2600,1170,3.3737497329711914,6.766103744506836,0.04172073304653168,0.26328518986701965,0.1967194378376007
2,pre_label_token,22,32,16,48,2600,1170,3.4059925079345703,6.602123737335205,0.042239222675561905,0.2625854015350342,0.1967194378376007
2,pre_label_token,23,32,16,48,2600,1170,3.3777613639831543,6.530238151550293,0.04204859957098961,0.26200923323631287,0.1967194378376007
2,pre_label_token,24,32,16,48,2600,1170,3.3657071590423584,6.416772365570068,0.04200369492173195,0.26104646921157837,0.1967194378376007
2,pre_label_token,25,32,16,48,2600,1170,3.366086483001709,6.618431568145752,0.041989319026470184,0.26308104395866394,0.1967194378376007
2,pre_label_token,26,32,16,48,2600,1170,3.361527442932129,6.753585338592529,0.041950881481170654,0.2636718451976776,0.1967194378376007
2,pre_label_token,27,32,16,48,2600,1170,3.3551719188690186,6.907072067260742,0.04198707640171051,0.2656809687614441,0.1967194378376007
2,pre_label_token,28,32,16,48,2600,1170,3.398195505142212,6.997537136077881,0.04270215705037117,0.2674771547317505,0.1967194378376007
2,first_label_token,0,32,16,48,2600,1170,8.624664306640625,8.857157707214355,0.10584826022386551,0.29831016063690186,0.1967194378376007
2,first_label_token,1,32,16,48,2600,1170,7.154745578765869,9.225137710571289,0.08870559930801392,0.3032088279724121,0.1967194378376007
2,first_label_token,2,32,16,48,2600,1170,6.383554458618164,7.947698593139648,0.07969602197408676,0.28802379965782166,0.1967194378376007
2,first_label_token,3,32,16,48,2600,1170,5.948415279388428,7.862121105194092,0.07472123205661774,0.2871554493904114,0.1967194378376007
2,first_label_token,4,32,16,48,2600,1170,5.122816562652588,7.048429012298584,0.0650486946105957,0.27749699354171753,0.1967194378376007
2,first_label_token,5,32,16,48,2600,1170,4.439920425415039,6.463855266571045,0.057023774832487106,0.27031219005584717,0.1967194378376007
2,first_label_token,6,32,16,48,2600,1170,3.969968557357788,6.218650817871094,0.051442619413137436,0.26717904210090637,0.1967194378376007
2,first_label_token,7,32,16,48,2600,1170,3.5797476768493652,5.718840599060059,0.04671202600002289,0.26071086525917053,0.1967194378376007
2,first_label_token,8,32,16,48,2600,1170,3.4787418842315674,5.371373653411865,0.04562483727931976,0.25699031352996826,0.1967194378376007
2,first_label_token,9,32,16,48,2600,1170,3.27759051322937,4.926130294799805,0.042642172425985336,0.25048738718032837,0.1967194378376007
