icl_example_index,token_role,layer,test_mse,test_mse_seed0,test_mse_seed1,test_mse_seed2,test_r2,test_r2_seed0,test_r2_seed1,test_r2_seed2,test_r2_testmean_baseline,test_r2_testmean_baseline_seed0,test_r2_testmean_baseline_seed1,test_r2_testmean_baseline_seed2,train_mse,train_mse_seed0,train_mse_seed1,train_mse_seed2,train_r2,train_r2_seed0,train_r2_seed1,train_r2_seed2
1,first_label_token,24,0.2171314015107996,0.21711893963212728,0.21731699614965616,0.21695826875061547,-6.456154923206725e-05,-7.1645852561808e-06,-0.0009193739800572587,0.0007328539176172377,-0.14174660341407597,-0.14168107485603532,-0.14272251959686622,-0.14083621578932637,0.19750083982944489,0.19781255722045898,0.19733308255672455,0.19735687971115112,0.0016542609648268665,7.856270769124318e-05,0.002502256135668346,0.0023819640511210105
1,first_label_token,25,0.21713415461094102,0.21711967051530084,0.21732399563829438,0.21695879767922793,-7.724178740427708e-05,-1.0530889509752228e-05,-0.0009516122490840218,0.0007304177763809427,-0.14176108009830238,-0.1416849180743589,-0.14275932515480338,-0.14083899706574488,0.1975009689728419,0.19781255722045898,0.19733268022537231,0.1973576694726944,0.0016536081586907558,7.856270769124318e-05,0.002504289877861776,0.002377971890519248
1,first_label_token,26,0.2171252536506546,0.2171193435412495,0.21730448618656448,0.21695193122414982,-3.624571367063142e-05,-9.024911291177773e-06,-0.0008617555486962747,0.0007620433189755582,-0.14171427599210937,-0.14168319873984592,-0.14265673819551483,-0.14080289104096733,0.19750124712785086,0.1978125274181366,0.19733265042304993,0.19735856354236603,0.0016522021147052184,7.871335526110634e-05,0.0025044405254316393,0.0023734524634229093
1,first_label_token,27,0.2171223701883097,0.21711934514406347,0.21730777996928752,0.21693998545157808,-2.2965052809705473e-05,-9.032293537103442e-06,-0.0008769260645766774,0.0008170631996846645,-0.14169911382157352,-0.14168320716795613,-0.14267405796230226,-0.14074007633446217,0.19750083486239114,0.19781243801116943,0.19733285903930664,0.1973572075366974,0.0016542860727551956,7.916529797069582e-05,0.002503385992442486,0.0023803069278524047
1,first_label_token,28,0.21711301135749708,0.21711877774791558,0.21729712125633946,0.21692313506823627,2.013988257998367e-05,-6.418978392819241e-06,-0.0008278341275427259,0.0008946727536754961,-0.14164990208518788,-0.14168022361688903,-0.14261801102841565,-0.14065147161025893,0.19750167926152548,0.19781246781349182,0.19733357429504395,0.19735899567604065,0.001650017724941999,7.901465040083266e-05,0.0024997704507654372,0.002371268073659727
1,last_label_token,0,0.21713730894884808,0.2171189428377552,0.2171817683372177,0.21711121567157135,-9.177004786790437e-05,-7.179349748476227e-06,-0.00029654125289502176,2.8410459039784897e-05,-0.14177766661948868,-0.14168109171225596,-0.14201144835399448,-0.14164045979221562,0.1977636863787969,0.1978127807378769,0.19766543805599213,0.19781284034252167,0.000325599614362293,7.743285091710295e-05,0.0008222344363923995,7.713155577737663e-05
1,last_label_token,1,0.2172160167320102,0.21711821676302356,0.21742127522700974,0.21710855820599725,-0.0004542826283184069,-3.835192233125895e-06,-0.0013996629159125362,4.065022319044154e-05,-0.1421915374067738,-0.14167727377826345,-0.14327085245681714,-0.14162648598524075,0.1976553499698639,0.19781264662742615,0.19734041392803192,0.1978129893541336,0.0008732286387959828,7.811076498154268e-05,0.0024651968334784558,7.63783179279498e-05
1,last_label_token,2,0.21714422402261682,0.21711673896853664,0.21750465521291523,0.2168112778863987,-0.00012361951859633327,2.9712387360492087e-06,-0.001783694743950015,0.001409864949424966,-0.14181402829694725,-0.14166950306051262,-0.14370929118579845,-0.1400632906445307,0.19750243425369263,0.19781295955181122,0.19733096659183502,0.19736337661743164,0.0016462013198384289,7.652896549781296e-05,0.0025129521131297405,0.002349122880887733
1,last_label_token,3,0.2173037659888174,0.217116783847328,0.21800361921807296,0.21679089490105125,-0.0008584384594168734,2.7645358432470957e-06,-0.0040818248880696295,0.0015037449739757625,-0.1426529511645934,-0.1416697390476025,-0.1463330040810813,-0.13995611036509636,0.19718995690345764,0.19781287014484406,0.19639863073825836,0.1973583698272705,0.003225741090005988,7.698090820751347e-05,0.007225810689183265,0.0023744316726271864
1,last_label_token,4,0.21725368125765931,0.21711375452891118,0.21790559111523028,0.2167416981288365,-0.0006277580310799872,1.671698110550235e-05,-0.0036303267122796967,0.0017303356379342327,-0.142389589572098,-0.14165380991902432,-0.14581754085152987,-0.13969741794573975,0.197186549504598,0.1978127807378769,0.19639098644256592,0.19735588133335114,0.003242965128828638,7.743285091710295e-05,0.007264451790856885,0.002387010744711926
