family,style,k,n,mean,ci,median,pos,top1
py_not_in,nat,4,200,2.7291,0.4641,2.9375,0.795,0.605
py_not_in,alt,0,200,-1.4366,0.6005,-1.5625,0.38,0.125
py_not_in,alt,1,200,0.8697,0.4216,0.75,0.57,0.39
py_not_in,alt,2,200,1.6881,0.4108,1.625,0.705,0.51
py_not_in,alt,3,200,2.0784,0.4311,2.125,0.745,0.6
py_not_in,alt,4,200,2.6112,0.4016,2.4063,0.82,0.725
py_is_none,nat,0,200,-0.9406,0.2988,-0.625,0.33,0.21
py_is_none,nat,1,200,3.0175,0.4932,3.125,0.78,0.57
py_is_none,nat,2,200,3.1756,0.5332,3.125,0.82,0.69
py_is_none,nat,3,200,4.4547,0.5269,4.625,0.85,0.775
py_is_none,nat,4,200,4.6869,0.4556,4.75,0.92,0.815
py_is_none,alt,0,200,0.9406,0.2987,0.625,0.645,0.37
py_is_none,alt,1,200,2.8359,0.3691,2.8125,0.825,0.53
py_is_none,alt,2,200,3.4834,0.3846,3.125,0.895,0.57
py_is_none,alt,3,200,3.9934,0.4603,3.375,0.91,0.62
py_is_none,alt,4,200,3.8753,0.4039,3.625,0.935,0.615
py_ternary,nat,0,200,-4.3134,0.5238,-5.0,0.11,0.045
py_ternary,nat,1,200,-1.2359,0.6595,-2.0625,0.33,0.285
py_ternary,nat,2,200,-1.3772,0.6803,-1.625,0.32,0.26
py_ternary,nat,3,200,-1.0973,0.6706,-1.4687,0.355,0.25
py_ternary,nat,4,200,-1.3795,0.5888,-1.75,0.295,0.215
py_ternary,alt,0,200,4.3144,0.5236,5.0,0.89,0.365
py_ternary,alt,1,200,4.205,0.3968,4.5,0.92,0.58
py_ternary,alt,2,200,4.468,0.4457,4.2188,0.91,0.625
py_ternary,alt,3,200,4.8645,0.4684,5.0,0.92,0.655
py_ternary,alt,4,200,4.7009,0.3966,4.375,0.955,0.7
early_return,nat,0,200,3.8359,0.2802,4.125,0.975,0.67
early_return,nat,1,200,6.7297,0.4909,8.125,0.885,0.77
early_return,nat,2,200,7.2912,0.8976,10.75,0.73,0.655
early_return,nat,3,200,7.7556,0.9168,11.0,0.78,0.725
early_return,nat,4,200,6.9148,1.0233,6.4375,0.73,0.66
early_return,alt,0,200,-3.8359,0.2799,-4.125,0.025,0.02
