icl_example_index,token_role,layer,best_alpha,rank90,energy_at_k,sv1,sv_k,gate_rel_fv,gate_rel_pp,selfcons_max_rel,trunc_resid_mean,trunc_resid_max,preimage_norm_mean,n_rows
2,pre_label_token,16,31622.776601683792,79,0.9005701888398101,1.5569056272506714,0.1074027270078659,0.0,0.0,3.0210555905796355e-06,0.4654289484024048,0.8066085577011108,149.631591796875,4590
2,pre_label_token,17,31622.776601683792,78,0.9005520725030695,1.6011335849761963,0.11009691655635834,0.0,0.0,2.8021354410157073e-06,0.4666098654270172,0.8165740370750427,168.33981323242188,4590
2,pre_label_token,18,10000.0,252,0.9000033899343635,2.173351764678955,0.12299054861068726,0.0,0.0,6.1491468841268215e-06,0.3398045301437378,0.6783276200294495,166.49099731445312,4590
2,pre_label_token,19,10000.0,253,0.9000663758300308,2.2393786907196045,0.12437193840742111,0.0,0.0,6.007884621794801e-06,0.33944475650787354,0.6779776215553284,184.04054260253906,4590
2,pre_label_token,20,10000.0,245,0.9001390888698316,2.36362886428833,0.12659059464931488,0.0,0.0,5.683636118192226e-06,0.3431621491909027,0.6819494366645813,213.19357299804688,4590
2,pre_label_token,21,10000.0,247,0.9000170110786841,2.4154348373413086,0.12755484879016876,0.0,0.0,5.740495907957666e-06,0.3416362404823303,0.6781937479972839,234.65382385253906,4590
2,pre_label_token,22,10000.0,249,0.9001087237064768,2.452104330062866,0.12773248553276062,0.0,0.0,5.772828444605693e-06,0.34038394689559937,0.6781919002532959,252.22608947753906,4590
2,pre_label_token,23,10000.0,252,0.9002507781369158,2.4798686504364014,0.12845973670482635,0.0,0.0,6.0747961470042355e-06,0.3388455808162689,0.6750698089599609,264.0375671386719,4590
2,pre_label_token,24,10000.0,256,0.9000601956483295,2.4814674854278564,0.12929126620292664,0.0,0.0,5.165033599041635e-06,0.3366120755672455,0.6742022037506104,278.0233154296875,4590
2,pre_label_token,25,10000.0,260,0.9003310870668764,2.481395959854126,0.12912125885486603,0.0,0.0,5.6901335483416915e-06,0.3347131311893463,0.6721636056900024,294.4637145996094,4590
2,pre_label_token,26,10000.0,263,0.9001701709774649,2.4577443599700928,0.1295030117034912,0.0,0.0,5.467320988827851e-06,0.33304476737976074,0.672741711139679,310.90203857421875,4590
2,pre_label_token,27,10000.0,261,0.9000205946628529,2.465557336807251,0.13015548884868622,0.0,0.0,5.507192327058874e-06,0.3340873420238495,0.673144519329071,347.548828125,4590
2,pre_label_token,28,10000.0,256,0.9003518133496018,2.5215981006622314,0.1314086616039276,0.0,0.0,5.3559338084596675e-06,0.33638131618499756,0.6771001219749451,450.55267333984375,4590
