task,arm,row,k,op,start_layer,mean_delta_all,sem_all,n_all,mean_delta_test40,sem_test40,n_test40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,4,-2.1451542377471924,0.09230110286790531,170,-2.2075390815734863,0.20332180821997797,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,5,-1.9052962064743042,0.07499402036054921,170,-1.884765386581421,0.16836145704839892,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,6,-1.411101222038269,0.051423890136154934,170,-1.3274844884872437,0.10856705657190235,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,7,-1.4811991453170776,0.05096174676494515,170,-1.3883593082427979,0.10805705939603,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,8,-0.8936469554901123,0.037845884013730534,170,-0.7827247977256775,0.07396336886000897,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,9,-0.8481626510620117,0.03783229532637413,170,-0.7342109680175781,0.07510557781725517,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,10,-0.9536193609237671,0.03771677891230886,170,-0.8927820920944214,0.07603749716933039,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,11,-0.8921682834625244,0.036381014373774896,170,-0.7985254526138306,0.07110726215893994,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,12,-0.22323253750801086,0.021356689626800172,170,-0.20911693572998047,0.0416675326388402,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,13,-0.289210706949234,0.021592133921137242,170,-0.2602757215499878,0.046077540372010985,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,14,-0.24815607070922852,0.020935888322573617,170,-0.21382634341716766,0.04148934227382483,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,15,-0.20992133021354675,0.019201494097535073,170,-0.16984780132770538,0.042429983835754435,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,16,-0.20823895931243896,0.016583440905252142,170,-0.18441781401634216,0.030608793082402736,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,17,-0.24984966218471527,0.01620247765517778,170,-0.22839073836803436,0.030131750403892137,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,18,-0.23621533811092377,0.016754542936386667,170,-0.219580739736557,0.030228057548680822,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,19,-0.1491384506225586,0.014225632218881887,170,-0.13376277685165405,0.025059043208224954,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,20,-0.18737287819385529,0.014981506095965888,170,-0.17063412070274353,0.02689865669310939,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,21,-0.25284460186958313,0.016394185576391027,170,-0.24269504845142365,0.03384479184038982,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,22,-0.2059212625026703,0.014710504926857373,170,-0.17325720191001892,0.030686145559909277,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,23,-0.19213534891605377,0.015144537201102858,170,-0.1442725956439972,0.027702402912205618,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,24,-0.06184352934360504,0.009513549162007627,170,-0.030984997749328613,0.014573132781305627,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,25,0.007949207909405231,0.004868234674749508,170,0.010091066360473633,0.012155952089102636,40
