task,icl_example_index,token_role,layer,mean_cosine,n_prompts
antonym,5,first_label_token,14,0.30864617228507996,170
antonym,5,first_label_token,15,0.3047749102115631,170
antonym,5,first_label_token,16,0.3151688277721405,170
antonym,5,first_label_token,17,0.3104728162288666,170
antonym,5,first_label_token,18,0.3094930648803711,170
antonym,5,first_label_token,19,0.31075701117515564,170
antonym,5,first_label_token,20,0.3053375780582428,170
antonym,5,first_label_token,21,0.3153420090675354,170
antonym,5,first_label_token,22,0.3052019476890564,170
antonym,5,first_label_token,23,0.3005848526954651,170
antonym,5,first_label_token,24,0.29822009801864624,170
antonym,5,first_label_token,25,0.2909995913505554,170
antonym,5,first_label_token,26,0.28330177068710327,170
antonym,5,first_label_token,27,0.2702317237854004,170
antonym,5,first_label_token,28,0.2892305850982666,170
antonym,5,last_label_token,0,0.006073075346648693,170
antonym,5,last_label_token,1,0.15407586097717285,170
antonym,5,last_label_token,2,0.14029473066329956,170
antonym,5,last_label_token,3,0.1327921450138092,170
antonym,5,last_label_token,4,0.15271778404712677,170
antonym,5,last_label_token,5,0.18078874051570892,170
antonym,5,last_label_token,6,0.2085879147052765,170
antonym,5,last_label_token,7,0.23379546403884888,170
antonym,5,last_label_token,8,0.24584287405014038,170
antonym,5,last_label_token,9,0.28448861837387085,170
antonym,5,last_label_token,10,0.31732791662216187,170
antonym,5,last_label_token,11,0.3218784034252167,170
antonym,5,last_label_token,12,0.33697476983070374,170
antonym,5,last_label_token,13,0.31040459871292114,170
antonym,5,last_label_token,14,0.30940812826156616,170
antonym,5,last_label_token,15,0.3044483959674835,170
antonym,5,last_label_token,16,0.3157588541507721,170
antonym,5,last_label_token,17,0.311591237783432,170
antonym,5,last_label_token,18,0.31061166524887085,170
antonym,5,last_label_token,19,0.31241369247436523,170
antonym,5,last_label_token,20,0.30753570795059204,170
antonym,5,last_label_token,21,0.3162371516227722,170
antonym,5,last_label_token,22,0.30600568652153015,170
antonym,5,last_label_token,23,0.3018653988838196,170
antonym,5,last_label_token,24,0.3003074526786804,170
antonym,5,last_label_token,25,0.2949971854686737,170
antonym,5,last_label_token,26,0.29014796018600464,170
antonym,5,last_label_token,27,0.27764731645584106,170
antonym,5,last_label_token,28,0.29403573274612427,170
antonym,6,pre_label_token,0,0.0001948060526046902,170
antonym,6,pre_label_token,1,0.13641324639320374,170
antonym,6,pre_label_token,2,0.11948800832033157,170
antonym,6,pre_label_token,3,0.09731663018465042,170
antonym,6,pre_label_token,4,0.11623133718967438,170
antonym,6,pre_label_token,5,0.1721978634595871,170
antonym,6,pre_label_token,6,0.21653316915035248,170
antonym,6,pre_label_token,7,0.29226770997047424,170
antonym,6,pre_label_token,8,0.3051570951938629,170
antonym,6,pre_label_token,9,0.39942097663879395,170
antonym,6,pre_label_token,10,0.4530940651893616,170
antonym,6,pre_label_token,11,0.42905664443969727,170
antonym,6,pre_label_token,12,0.4638914167881012,170
antonym,6,pre_label_token,13,0.46990451216697693,170
antonym,6,pre_label_token,14,0.4526527523994446,170
antonym,6,pre_label_token,15,0.4271105229854584,170
antonym,6,pre_label_token,16,0.4506720006465912,170
antonym,6,pre_label_token,17,0.4386604428291321,170
antonym,6,pre_label_token,18,0.4303032457828522,170
antonym,6,pre_label_token,19,0.40769219398498535,170
antonym,6,pre_label_token,20,0.3897995948791504,170
antonym,6,pre_label_token,21,0.38918671011924744,170
antonym,6,pre_label_token,22,0.37653326988220215,170
antonym,6,pre_label_token,23,0.3657246530056,170
antonym,6,pre_label_token,24,0.3572274148464203,170
antonym,6,pre_label_token,25,0.343654066324234,170
antonym,6,pre_label_token,26,0.3251502215862274,170
antonym,6,pre_label_token,27,0.29329341650009155,170
antonym,6,pre_label_token,28,0.2881324589252472,170
antonym,6,first_label_token,0,0.0040561663918197155,170
antonym,6,first_label_token,1,0.154107466340065,170
antonym,6,first_label_token,2,0.1405070573091507,170
antonym,6,first_label_token,3,0.13173408806324005,170
antonym,6,first_label_token,4,0.15340597927570343,170
antonym,6,first_label_token,5,0.183089017868042,170
antonym,6,first_label_token,6,0.20901668071746826,170
antonym,6,first_label_token,7,0.23424512147903442,170
antonym,6,first_label_token,8,0.2470751404762268,170
antonym,6,first_label_token,9,0.2858448624610901,170
antonym,6,first_label_token,10,0.321632444858551,170
antonym,6,first_label_token,11,0.32821109890937805,170
antonym,6,first_label_token,12,0.33929499983787537,170
antonym,6,first_label_token,13,0.31230872869491577,170
antonym,6,first_label_token,14,0.31052711606025696,170
antonym,6,first_label_token,15,0.30733722448349,170
antonym,6,first_label_token,16,0.31866347789764404,170
antonym,6,first_label_token,17,0.3130258321762085,170
antonym,6,first_label_token,18,0.31304195523262024,170
antonym,6,first_label_token,19,0.3138987421989441,170
antonym,6,first_label_token,20,0.3084698021411896,170
antonym,6,first_label_token,21,0.3180026412010193,170
antonym,6,first_label_token,22,0.3074066638946533,170
antonym,6,first_label_token,23,0.3024991750717163,170
antonym,6,first_label_token,24,0.29996928572654724,170
antonym,6,first_label_token,25,0.2930988669395447,170
antonym,6,first_label_token,26,0.2866959571838379,170
antonym,6,first_label_token,27,0.27300140261650085,170
antonym,6,first_label_token,28,0.2898874282836914,170
antonym,6,last_label_token,0,0.004157731309533119,170
antonym,6,last_label_token,1,0.15441840887069702,170
antonym,6,last_label_token,2,0.1396908313035965,170
antonym,6,last_label_token,3,0.1321709305047989,170
antonym,6,last_label_token,4,0.15244285762310028,170
antonym,6,last_label_token,5,0.18176349997520447,170
antonym,6,last_label_token,6,0.2080678641796112,170
antonym,6,last_label_token,7,0.23386028409004211,170
antonym,6,last_label_token,8,0.24568624794483185,170
antonym,6,last_label_token,9,0.28509998321533203,170
antonym,6,last_label_token,10,0.31824177503585815,170
antonym,6,last_label_token,11,0.3243512213230133,170
antonym,6,last_label_token,12,0.33673250675201416,170
antonym,6,last_label_token,13,0.31030407547950745,170
antonym,6,last_label_token,14,0.3087709844112396,170
antonym,6,last_label_token,15,0.3052048087120056,170
antonym,6,last_label_token,16,0.3172306418418884,170
antonym,6,last_label_token,17,0.31217923760414124,170
antonym,6,last_label_token,18,0.31247565150260925,170
antonym,6,last_label_token,19,0.3138279318809509,170
antonym,6,last_label_token,20,0.3093361258506775,170
antonym,6,last_label_token,21,0.31740638613700867,170
antonym,6,last_label_token,22,0.3067759573459625,170
antonym,6,last_label_token,23,0.30236583948135376,170
antonym,6,last_label_token,24,0.3005170226097107,170
antonym,6,last_label_token,25,0.2953123450279236,170
antonym,6,last_label_token,26,0.2904569208621979,170
antonym,6,last_label_token,27,0.2777465581893921,170
antonym,6,last_label_token,28,0.2938555181026459,170
antonym,7,pre_label_token,0,0.0001948060526046902,170
antonym,7,pre_label_token,1,0.13626442849636078,170
antonym,7,pre_label_token,2,0.1192607656121254,170
antonym,7,pre_label_token,3,0.09778548032045364,170
antonym,7,pre_label_token,4,0.11669187247753143,170
antonym,7,pre_label_token,5,0.17470897734165192,170
antonym,7,pre_label_token,6,0.2186499387025833,170
antonym,7,pre_label_token,7,0.29383814334869385,170
antonym,7,pre_label_token,8,0.30635586380958557,170
antonym,7,pre_label_token,9,0.40187081694602966,170
antonym,7,pre_label_token,10,0.4561925232410431,170
antonym,7,pre_label_token,11,0.4336375594139099,170
antonym,7,pre_label_token,12,0.4661850929260254,170
antonym,7,pre_label_token,13,0.4743187427520752,170
antonym,7,pre_label_token,14,0.4564284682273865,170
antonym,7,pre_label_token,15,0.43184590339660645,170
antonym,7,pre_label_token,16,0.4550892412662506,170
antonym,7,pre_label_token,17,0.44312623143196106,170
antonym,7,pre_label_token,18,0.433435320854187,170
antonym,7,pre_label_token,19,0.41068097949028015,170
antonym,7,pre_label_token,20,0.39361855387687683,170
antonym,7,pre_label_token,21,0.3928989768028259,170
antonym,7,pre_label_token,22,0.37976783514022827,170
antonym,7,pre_label_token,23,0.3694002032279968,170
