family,target,layer,alpha,n,success,lo,hi,target_rate,judge_ok,unscorable,margin,top1,unsteered,k4
sql_join_style,nat,24,4.0,40,0.7,0.5457,0.8193,0.825,0.85,0.175,20.7961,0.95,0.725,0.855
sql_join_style,nat,26,2.0,40,0.675,0.5202,0.7992,0.75,0.925,0.25,18.4875,0.95,0.725,0.855
sql_join_style,nat,26,4.0,40,0.75,0.5981,0.8581,0.825,0.925,0.175,19.4867,0.95,0.725,0.855
sql_join_style,alt,24,2.0,40,0.55,0.3983,0.6929,0.625,0.85,0.325,9.3953,0.9,0.025,0.71
sql_join_style,alt,24,4.0,40,0.65,0.4951,0.7787,0.675,0.85,0.3,20.237,0.9,0.025,0.71
sql_join_style,alt,26,2.0,40,0.55,0.3983,0.6929,0.575,0.925,0.325,7.5281,0.9,0.025,0.71
sql_join_style,alt,26,4.0,40,0.55,0.3983,0.6929,0.6,0.875,0.225,13.2719,0.9,0.025,0.71
rust_question,nat,24,2.0,40,0.6,0.446,0.7365,0.725,0.8,0.25,13.4074,0.75,0.625,0.815
rust_question,nat,24,4.0,40,0.35,0.2213,0.5049,0.475,0.65,0.5,19.0706,0.45,0.625,0.815
rust_question,nat,26,2.0,40,0.675,0.5202,0.7992,0.725,0.875,0.275,15.7397,0.75,0.625,0.815
rust_question,nat,26,4.0,40,0.5,0.352,0.648,0.6,0.7,0.325,22.0027,0.675,0.625,0.815
rust_question,alt,24,2.0,40,0.625,0.4703,0.7578,0.725,0.9,0.175,3.2375,0.8,0.075,0.705
rust_question,alt,24,4.0,40,0.675,0.5202,0.7992,0.95,0.725,0.025,6.5273,0.9,0.075,0.705
rust_question,alt,26,2.0,40,0.725,0.5716,0.8389,0.925,0.775,0.05,3.0602,0.8,0.075,0.705
rust_question,alt,26,4.0,40,0.775,0.625,0.8768,0.975,0.8,0.0,6.0898,0.9,0.075,0.705
comma_space,nat,24,2.0,40,0.825,0.6805,0.9125,0.925,0.9,0.075,13.5703,0.95,0.925,0.895
comma_space,nat,24,4.0,40,0.85,0.7093,0.9294,0.875,0.95,0.1,16.7891,0.9,0.925,0.895
comma_space,nat,26,2.0,40,0.95,0.835,0.9862,0.975,0.975,0.025,15.7191,1.0,0.925,0.895
comma_space,nat,26,4.0,40,0.775,0.625,0.8768,0.85,0.9,0.125,18.3925,0.975,0.925,0.895
comma_space,alt,24,2.0,40,0.6,0.446,0.7365,0.675,0.9,0.075,0.9078,0.8,0.0,0.695
comma_space,alt,24,4.0,40,0.6,0.446,0.7365,0.8,0.775,0.1,2.118,0.725,0.0,0.695
comma_space,alt,26,2.0,40,0.7,0.5457,0.8193,0.8,0.9,0.1,1.625,0.825,0.0,0.695
comma_space,alt,26,4.0,40,0.675,0.5202,0.7992,0.85,0.775,0.075,2.6797,0.625,0.0,0.695
js_quotes,nat,24,2.0,40,0.575,0.4219,0.7149,0.6,0.925,0.375,6.0516,0.625,0.2,0.675
