task,train_metric,test_setting,product,best_layer,best_acc,acc_L9,baseline
person-occupation,mixedtask10,test_mixedtask10,sparse,0,0.0333,0.0333,0.0333
person-sport,zeroshot,test_zeroshot,cie10,0,0.7333,0.5667,0.0000
person-sport,zeroshot,test_zeroshot,cie40,0,0.8333,0.7333,0.0000
person-sport,zeroshot,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
person-sport,-,test_zeroshot,mean_act,15,0.7667,0.0000,0.0000
person-sport,zeroshot,test_sametask_shuffled10,cie10,16,1.0000,0.9667,0.9667
person-sport,zeroshot,test_sametask_shuffled10,cie40,5,0.9667,0.9333,0.9667
person-sport,zeroshot,test_sametask_shuffled10,sparse,0,1.0000,0.9667,0.9667
person-sport,-,test_sametask_shuffled10,mean_act,0,0.9667,0.9667,0.9667
person-sport,zeroshot,test_mixedtask10,cie10,9,0.8667,0.8667,0.2000
person-sport,zeroshot,test_mixedtask10,cie40,1,0.8667,0.8667,0.2000
person-sport,zeroshot,test_mixedtask10,sparse,11,0.5333,0.4333,0.2000
person-sport,-,test_mixedtask10,mean_act,20,0.9000,0.5333,0.2000
person-sport,sametask_shuffled10,test_zeroshot,cie10,0,0.0333,0.0000,0.0000
person-sport,sametask_shuffled10,test_zeroshot,cie40,11,0.1000,0.0333,0.0000
person-sport,sametask_shuffled10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
person-sport,sametask_shuffled10,test_sametask_shuffled10,cie10,0,1.0000,0.9667,0.9667
person-sport,sametask_shuffled10,test_sametask_shuffled10,cie40,8,1.0000,0.9667,0.9667
person-sport,sametask_shuffled10,test_sametask_shuffled10,sparse,0,0.9667,0.9667,0.9667
person-sport,sametask_shuffled10,test_mixedtask10,cie10,5,0.8000,0.7667,0.2000
person-sport,sametask_shuffled10,test_mixedtask10,cie40,9,0.8333,0.8333,0.2000
person-sport,sametask_shuffled10,test_mixedtask10,sparse,0,0.2000,0.2000,0.2000
person-sport,mixedtask10,test_zeroshot,cie10,0,0.2667,0.1667,0.0000
person-sport,mixedtask10,test_zeroshot,cie40,0,0.8667,0.7667,0.0000
person-sport,mixedtask10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
person-sport,mixedtask10,test_sametask_shuffled10,cie10,8,1.0000,1.0000,0.9667
person-sport,mixedtask10,test_sametask_shuffled10,cie40,16,0.9667,0.9000,0.9667
person-sport,mixedtask10,test_sametask_shuffled10,sparse,0,0.9667,0.9667,0.9667
person-sport,mixedtask10,test_mixedtask10,cie10,3,0.8333,0.8333,0.2000
person-sport,mixedtask10,test_mixedtask10,cie40,11,0.9000,0.8667,0.2000
person-sport,mixedtask10,test_mixedtask10,sparse,0,0.2000,0.2000,0.2000
present-past,zeroshot,test_zeroshot,cie10,0,0.5667,0.3667,0.0000
present-past,zeroshot,test_zeroshot,cie40,0,0.8667,0.6333,0.0000
present-past,zeroshot,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
present-past,-,test_zeroshot,mean_act,18,0.3333,0.0000,0.0000
present-past,zeroshot,test_sametask_shuffled10,cie10,12,1.0000,0.9333,0.2333
present-past,zeroshot,test_sametask_shuffled10,cie40,11,1.0000,0.9667,0.2333
present-past,zeroshot,test_sametask_shuffled10,sparse,0,0.2333,0.2333,0.2333
present-past,-,test_sametask_shuffled10,mean_act,13,0.9667,0.8667,0.2333
present-past,zeroshot,test_mixedtask10,cie10,0,0.5000,0.2667,0.0000
present-past,zeroshot,test_mixedtask10,cie40,12,0.8000,0.5333,0.0000
present-past,zeroshot,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
present-past,-,test_mixedtask10,mean_act,23,0.4333,0.0000,0.0000
present-past,sametask_shuffled10,test_zeroshot,cie10,12,0.4000,0.1667,0.0000
present-past,sametask_shuffled10,test_zeroshot,cie40,12,0.8333,0.7000,0.0000
present-past,sametask_shuffled10,test_zeroshot,sparse,13,0.4333,0.1333,0.0000
present-past,sametask_shuffled10,test_sametask_shuffled10,cie10,12,1.0000,0.9667,0.2333
present-past,sametask_shuffled10,test_sametask_shuffled10,cie40,6,1.0000,0.9667,0.2333
present-past,sametask_shuffled10,test_sametask_shuffled10,sparse,13,1.0000,0.9667,0.2333
present-past,sametask_shuffled10,test_mixedtask10,cie10,12,0.3333,0.0667,0.0000
present-past,sametask_shuffled10,test_mixedtask10,cie40,0,0.8333,0.5333,0.0000
present-past,sametask_shuffled10,test_mixedtask10,sparse,6,0.3667,0.1333,0.0000
present-past,mixedtask10,test_zeroshot,cie10,6,0.6333,0.5667,0.0000
present-past,mixedtask10,test_zeroshot,cie40,0,0.8667,0.7333,0.0000
present-past,mixedtask10,test_zeroshot,sparse,7,0.1333,0.1000,0.0000
present-past,mixedtask10,test_sametask_shuffled10,cie10,0,0.9667,0.6333,0.2333
present-past,mixedtask10,test_sametask_shuffled10,cie40,6,1.0000,0.9667,0.2333
present-past,mixedtask10,test_sametask_shuffled10,sparse,13,0.7667,0.5333,0.2333
present-past,mixedtask10,test_mixedtask10,cie10,0,0.5667,0.4667,0.0000
present-past,mixedtask10,test_mixedtask10,cie40,12,0.9000,0.7000,0.0000
present-past,mixedtask10,test_mixedtask10,sparse,12,0.2333,0.0667,0.0000
prev_item,zeroshot,test_zeroshot,cie10,8,0.4667,0.4333,0.0333
prev_item,zeroshot,test_zeroshot,cie40,8,0.5333,0.5000,0.0333
prev_item,zeroshot,test_zeroshot,sparse,0,0.0333,0.0333,0.0333
prev_item,-,test_zeroshot,mean_act,9,0.2333,0.2333,0.0333
prev_item,zeroshot,test_sametask_shuffled10,cie10,11,0.4667,0.3333,0.1000
prev_item,zeroshot,test_sametask_shuffled10,cie40,11,0.4667,0.3667,0.1000
prev_item,zeroshot,test_sametask_shuffled10,sparse,0,0.1000,0.1000,0.1000
prev_item,-,test_sametask_shuffled10,mean_act,10,0.1667,0.1000,0.1000
prev_item,zeroshot,test_mixedtask10,cie10,11,0.4000,0.3000,0.0333
prev_item,zeroshot,test_mixedtask10,cie40,7,0.4333,0.4333,0.0333
prev_item,zeroshot,test_mixedtask10,sparse,0,0.0333,0.0333,0.0333
prev_item,-,test_mixedtask10,mean_act,8,0.1000,0.1000,0.0333
prev_item,sametask_shuffled10,test_zeroshot,cie10,10,0.5333,0.4667,0.0333
prev_item,sametask_shuffled10,test_zeroshot,cie40,11,0.5667,0.4667,0.0333
prev_item,sametask_shuffled10,test_zeroshot,sparse,8,0.2667,0.2333,0.0333
prev_item,sametask_shuffled10,test_sametask_shuffled10,cie10,11,0.4333,0.4000,0.1000
prev_item,sametask_shuffled10,test_sametask_shuffled10,cie40,8,0.4333,0.3000,0.1000
prev_item,sametask_shuffled10,test_sametask_shuffled10,sparse,11,0.3000,0.2667,0.1000
prev_item,sametask_shuffled10,test_mixedtask10,cie10,11,0.4000,0.3667,0.0333
prev_item,sametask_shuffled10,test_mixedtask10,cie40,11,0.4333,0.3000,0.0333
prev_item,sametask_shuffled10,test_mixedtask10,sparse,12,0.3000,0.1333,0.0333
prev_item,mixedtask10,test_zeroshot,cie10,10,0.5333,0.4667,0.0333
prev_item,mixedtask10,test_zeroshot,cie40,8,0.5000,0.3667,0.0333
prev_item,mixedtask10,test_zeroshot,sparse,0,0.0333,0.0333,0.0333
prev_item,mixedtask10,test_sametask_shuffled10,cie10,9,0.4000,0.4000,0.1000
prev_item,mixedtask10,test_sametask_shuffled10,cie40,11,0.4667,0.3667,0.1000
prev_item,mixedtask10,test_sametask_shuffled10,sparse,0,0.1000,0.1000,0.1000
prev_item,mixedtask10,test_mixedtask10,cie10,8,0.4000,0.3667,0.0333
prev_item,mixedtask10,test_mixedtask10,cie40,8,0.4333,0.3333,0.0333
prev_item,mixedtask10,test_mixedtask10,sparse,0,0.0333,0.0333,0.0333
product-company,zeroshot,test_zeroshot,cie10,11,0.8000,0.5000,0.0333
product-company,zeroshot,test_zeroshot,cie40,0,0.7667,0.7667,0.0333
product-company,zeroshot,test_zeroshot,sparse,0,0.0333,0.0333,0.0333
product-company,-,test_zeroshot,mean_act,15,0.6000,0.1667,0.0333
product-company,zeroshot,test_sametask_shuffled10,cie10,1,0.8333,0.8000,0.6333
product-company,zeroshot,test_sametask_shuffled10,cie40,0,0.8333,0.8000,0.6333
product-company,zeroshot,test_sametask_shuffled10,sparse,0,0.6333,0.6333,0.6333
product-company,-,test_sametask_shuffled10,mean_act,12,0.7333,0.6667,0.6333
product-company,zeroshot,test_mixedtask10,cie10,11,0.7667,0.6333,0.1333
product-company,zeroshot,test_mixedtask10,cie40,8,0.8000,0.7333,0.1333
product-company,zeroshot,test_mixedtask10,sparse,0,0.1333,0.1333,0.1333
product-company,-,test_mixedtask10,mean_act,13,0.7000,0.2667,0.1333
product-company,sametask_shuffled10,test_zeroshot,cie10,11,0.7333,0.5000,0.0333
product-company,sametask_shuffled10,test_zeroshot,cie40,11,0.7667,0.6667,0.0333
product-company,sametask_shuffled10,test_zeroshot,sparse,0,0.0333,0.0333,0.0333
product-company,sametask_shuffled10,test_sametask_shuffled10,cie10,1,0.8333,0.8000,0.6333
product-company,sametask_shuffled10,test_sametask_shuffled10,cie40,1,0.8333,0.8333,0.6333
product-company,sametask_shuffled10,test_sametask_shuffled10,sparse,0,0.6333,0.6333,0.6333
product-company,sametask_shuffled10,test_mixedtask10,cie10,7,0.7333,0.6667,0.1333
product-company,sametask_shuffled10,test_mixedtask10,cie40,8,0.7667,0.7333,0.1333
product-company,sametask_shuffled10,test_mixedtask10,sparse,0,0.1333,0.1333,0.1333
product-company,mixedtask10,test_zeroshot,cie10,11,0.7667,0.4667,0.0333
product-company,mixedtask10,test_zeroshot,cie40,5,0.8000,0.7333,0.0333
product-company,mixedtask10,test_zeroshot,sparse,11,0.5000,0.2333,0.0333
product-company,mixedtask10,test_sametask_shuffled10,cie10,11,0.8333,0.8000,0.6333
product-company,mixedtask10,test_sametask_shuffled10,cie40,0,0.8667,0.8333,0.6333
product-company,mixedtask10,test_sametask_shuffled10,sparse,12,0.8000,0.7667,0.6333
product-company,mixedtask10,test_mixedtask10,cie10,7,0.7333,0.6333,0.1333
product-company,mixedtask10,test_mixedtask10,cie40,11,0.8000,0.7333,0.1333
product-company,mixedtask10,test_mixedtask10,sparse,11,0.7333,0.4333,0.1333
sentiment,zeroshot,test_zeroshot,cie10,0,0.6667,0.2333,0.0000
sentiment,zeroshot,test_zeroshot,cie40,0,0.9333,0.4667,0.0000
sentiment,zeroshot,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
sentiment,-,test_zeroshot,mean_act,26,0.4667,0.0000,0.0000
sentiment,zeroshot,test_sametask_shuffled10,cie10,11,0.9333,0.8667,0.8000
sentiment,zeroshot,test_sametask_shuffled10,cie40,0,0.9000,0.6667,0.8000
sentiment,zeroshot,test_sametask_shuffled10,sparse,0,0.8000,0.8000,0.8000
sentiment,-,test_sametask_shuffled10,mean_act,17,0.8333,0.7333,0.8000
sentiment,zeroshot,test_mixedtask10,cie10,27,0.9000,0.5000,0.0000
sentiment,zeroshot,test_mixedtask10,cie40,0,0.8000,0.4000,0.0000
sentiment,zeroshot,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
sentiment,-,test_mixedtask10,mean_act,26,0.5333,0.0000,0.0000
sentiment,sametask_shuffled10,test_zeroshot,cie10,0,0.0000,0.0000,0.0000
sentiment,sametask_shuffled10,test_zeroshot,cie40,0,0.1667,0.0000,0.0000
sentiment,sametask_shuffled10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
sentiment,sametask_shuffled10,test_sametask_shuffled10,cie10,0,0.8667,0.8000,0.8000
sentiment,sametask_shuffled10,test_sametask_shuffled10,cie40,13,0.9000,0.7333,0.8000
sentiment,sametask_shuffled10,test_sametask_shuffled10,sparse,0,0.8333,0.8333,0.8000
sentiment,sametask_shuffled10,test_mixedtask10,cie10,0,0.0000,0.0000,0.0000
sentiment,sametask_shuffled10,test_mixedtask10,cie40,27,0.1667,0.0667,0.0000
sentiment,sametask_shuffled10,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
sentiment,mixedtask10,test_zeroshot,cie10,1,0.8333,0.1000,0.0000
sentiment,mixedtask10,test_zeroshot,cie40,0,0.9333,0.6667,0.0000
sentiment,mixedtask10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
sentiment,mixedtask10,test_sametask_shuffled10,cie10,23,0.9333,0.8333,0.8000
sentiment,mixedtask10,test_sametask_shuffled10,cie40,0,0.8667,0.8333,0.8000
sentiment,mixedtask10,test_sametask_shuffled10,sparse,0,0.8000,0.8000,0.8000
sentiment,mixedtask10,test_mixedtask10,cie10,27,0.8667,0.5667,0.0000
sentiment,mixedtask10,test_mixedtask10,cie40,2,0.7667,0.5000,0.0000
sentiment,mixedtask10,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
singular-plural,zeroshot,test_zeroshot,cie10,13,0.6333,0.0333,0.0333
singular-plural,zeroshot,test_zeroshot,cie40,1,0.9333,0.6000,0.0333
singular-plural,zeroshot,test_zeroshot,sparse,12,0.1667,0.0667,0.0333
singular-plural,-,test_zeroshot,mean_act,15,0.2333,0.0333,0.0333
singular-plural,zeroshot,test_sametask_shuffled10,cie10,13,1.0000,0.9000,0.1333
singular-plural,zeroshot,test_sametask_shuffled10,cie40,2,1.0000,0.9667,0.1333
singular-plural,zeroshot,test_sametask_shuffled10,sparse,12,0.7667,0.5000,0.1333
singular-plural,-,test_sametask_shuffled10,mean_act,12,0.9333,0.8000,0.1333
singular-plural,zeroshot,test_mixedtask10,cie10,13,0.6000,0.0667,0.0000
singular-plural,zeroshot,test_mixedtask10,cie40,0,1.0000,0.8000,0.0000
singular-plural,zeroshot,test_mixedtask10,sparse,13,0.4667,0.1000,0.0000
singular-plural,-,test_mixedtask10,mean_act,15,0.7000,0.0333,0.0000
singular-plural,sametask_shuffled10,test_zeroshot,cie10,13,0.7333,0.2000,0.0333
singular-plural,sametask_shuffled10,test_zeroshot,cie40,13,0.9333,0.8000,0.0333
singular-plural,sametask_shuffled10,test_zeroshot,sparse,13,0.8000,0.2333,0.0333
singular-plural,sametask_shuffled10,test_sametask_shuffled10,cie10,12,1.0000,0.9000,0.1333
singular-plural,sametask_shuffled10,test_sametask_shuffled10,cie40,1,1.0000,0.9667,0.1333
singular-plural,sametask_shuffled10,test_sametask_shuffled10,sparse,12,1.0000,0.9333,0.1333
singular-plural,sametask_shuffled10,test_mixedtask10,cie10,13,0.8333,0.3000,0.0000
singular-plural,sametask_shuffled10,test_mixedtask10,cie40,0,1.0000,0.9333,0.0000
singular-plural,sametask_shuffled10,test_mixedtask10,sparse,14,0.8333,0.3667,0.0000
singular-plural,mixedtask10,test_zeroshot,cie10,12,0.7667,0.2667,0.0333
singular-plural,mixedtask10,test_zeroshot,cie40,3,0.9667,0.7333,0.0333
singular-plural,mixedtask10,test_zeroshot,sparse,13,0.5000,0.2000,0.0333
singular-plural,mixedtask10,test_sametask_shuffled10,cie10,11,0.9667,0.9000,0.1333
singular-plural,mixedtask10,test_sametask_shuffled10,cie40,0,1.0000,0.9667,0.1333
singular-plural,mixedtask10,test_sametask_shuffled10,sparse,12,0.7667,0.5000,0.1333
singular-plural,mixedtask10,test_mixedtask10,cie10,13,0.8667,0.3667,0.0000
singular-plural,mixedtask10,test_mixedtask10,cie40,12,0.9667,0.8333,0.0000
singular-plural,mixedtask10,test_mixedtask10,sparse,13,0.6333,0.3667,0.0000
synonym,zeroshot,test_zeroshot,cie10,6,0.1000,0.0000,0.0000
synonym,zeroshot,test_zeroshot,cie40,10,0.1667,0.0667,0.0000
synonym,zeroshot,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
synonym,-,test_zeroshot,mean_act,21,0.0333,0.0000,0.0000
synonym,zeroshot,test_sametask_shuffled10,cie10,10,0.1667,0.1333,0.1000
synonym,zeroshot,test_sametask_shuffled10,cie40,11,0.2000,0.1333,0.1000
synonym,zeroshot,test_sametask_shuffled10,sparse,0,0.1000,0.1000,0.1000
synonym,-,test_sametask_shuffled10,mean_act,9,0.1000,0.1000,0.1000
synonym,zeroshot,test_mixedtask10,cie10,6,0.1333,0.1000,0.0333
synonym,zeroshot,test_mixedtask10,cie40,11,0.1667,0.1333,0.0333
synonym,zeroshot,test_mixedtask10,sparse,0,0.0333,0.0333,0.0333
synonym,-,test_mixedtask10,mean_act,23,0.1000,0.0333,0.0333
synonym,sametask_shuffled10,test_zeroshot,cie10,6,0.1333,0.0333,0.0000
synonym,sametask_shuffled10,test_zeroshot,cie40,10,0.1667,0.0667,0.0000
synonym,sametask_shuffled10,test_zeroshot,sparse,6,0.1667,0.1667,0.0000
synonym,sametask_shuffled10,test_sametask_shuffled10,cie10,9,0.1667,0.1667,0.1000
synonym,sametask_shuffled10,test_sametask_shuffled10,cie40,9,0.2000,0.2000,0.1000
synonym,sametask_shuffled10,test_sametask_shuffled10,sparse,9,0.3000,0.3000,0.1000
synonym,sametask_shuffled10,test_mixedtask10,cie10,11,0.2000,0.1000,0.0333
synonym,sametask_shuffled10,test_mixedtask10,cie40,9,0.1667,0.1667,0.0333
synonym,sametask_shuffled10,test_mixedtask10,sparse,10,0.2667,0.2000,0.0333
synonym,mixedtask10,test_zeroshot,cie10,7,0.1333,0.0333,0.0000
synonym,mixedtask10,test_zeroshot,cie40,10,0.1333,0.1000,0.0000
synonym,mixedtask10,test_zeroshot,sparse,6,0.1000,0.0667,0.0000
synonym,mixedtask10,test_sametask_shuffled10,cie10,11,0.2000,0.1333,0.1000
synonym,mixedtask10,test_sametask_shuffled10,cie40,10,0.2000,0.1333,0.1000
synonym,mixedtask10,test_sametask_shuffled10,sparse,10,0.1333,0.1000,0.1000
synonym,mixedtask10,test_mixedtask10,cie10,9,0.1667,0.1667,0.0333
synonym,mixedtask10,test_mixedtask10,cie40,11,0.1667,0.1333,0.0333
synonym,mixedtask10,test_mixedtask10,sparse,11,0.1333,0.1000,0.0333
word_length,zeroshot,test_zeroshot,cie10,26,0.1333,0.0000,0.0000
word_length,zeroshot,test_zeroshot,cie40,0,0.3333,0.3333,0.0000
word_length,zeroshot,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
word_length,-,test_zeroshot,mean_act,23,0.2667,0.0000,0.0000
word_length,zeroshot,test_sametask_shuffled10,cie10,26,0.3000,0.2333,0.1667
word_length,zeroshot,test_sametask_shuffled10,cie40,9,0.3000,0.3000,0.1667
word_length,zeroshot,test_sametask_shuffled10,sparse,0,0.1667,0.1667,0.1667
word_length,-,test_sametask_shuffled10,mean_act,21,0.2667,0.2000,0.1667
word_length,zeroshot,test_mixedtask10,cie10,11,0.2000,0.0667,0.0000
word_length,zeroshot,test_mixedtask10,cie40,4,0.3667,0.3000,0.0000
word_length,zeroshot,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
word_length,-,test_mixedtask10,mean_act,15,0.1667,0.0000,0.0000
word_length,sametask_shuffled10,test_zeroshot,cie10,27,0.0333,0.0000,0.0000
word_length,sametask_shuffled10,test_zeroshot,cie40,27,0.0667,0.0000,0.0000
word_length,sametask_shuffled10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
word_length,sametask_shuffled10,test_sametask_shuffled10,cie10,24,0.2667,0.2000,0.1667
word_length,sametask_shuffled10,test_sametask_shuffled10,cie40,1,0.3000,0.1667,0.1667
word_length,sametask_shuffled10,test_sametask_shuffled10,sparse,0,0.1667,0.1667,0.1667
word_length,sametask_shuffled10,test_mixedtask10,cie10,20,0.0333,0.0000,0.0000
word_length,sametask_shuffled10,test_mixedtask10,cie40,22,0.0333,0.0000,0.0000
word_length,sametask_shuffled10,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
word_length,mixedtask10,test_zeroshot,cie10,26,0.1667,0.0000,0.0000
word_length,mixedtask10,test_zeroshot,cie40,0,0.3333,0.3333,0.0000
word_length,mixedtask10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
word_length,mixedtask10,test_sametask_shuffled10,cie10,26,0.3000,0.2000,0.1667
word_length,mixedtask10,test_sametask_shuffled10,cie40,0,0.3000,0.2667,0.1667
word_length,mixedtask10,test_sametask_shuffled10,sparse,0,0.1667,0.1667,0.1667
word_length,mixedtask10,test_mixedtask10,cie10,12,0.2000,0.0667,0.0000
word_length,mixedtask10,test_mixedtask10,cie40,0,0.3333,0.3000,0.0000
word_length,mixedtask10,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
