family,target,layer,alpha,target_rate,unscorable
c_comment_style,nat,24,0.5,0.26,0.74
c_comment_style,nat,24,1.0,0.26,0.74
c_comment_style,nat,24,2.0,0.28,0.72
c_comment_style,nat,24,4.0,0.6,0.4
c_comment_style,alt,24,0.0,0.0,0.72
c_comment_style,alt,24,0.5,0.0,0.74
c_comment_style,alt,24,1.0,0.0,0.78
c_comment_style,alt,24,2.0,0.06,0.88
c_comment_style,alt,24,4.0,0.18,0.76
sql_keyword_case,nat,24,0.0,0.78,0.22
sql_keyword_case,nat,24,0.5,0.78,0.16
sql_keyword_case,nat,24,1.0,0.82,0.18
sql_keyword_case,nat,24,2.0,0.76,0.22
sql_keyword_case,nat,24,4.0,0.84,0.14
sql_keyword_case,alt,24,0.0,0.0,0.22
sql_keyword_case,alt,24,0.5,0.02,0.28
sql_keyword_case,alt,24,1.0,0.04,0.22
sql_keyword_case,alt,24,2.0,0.22,0.32
sql_keyword_case,alt,24,4.0,0.2,0.34
sql_join_style,nat,24,0.0,0.94,0.06
sql_join_style,nat,24,0.5,0.96,0.04
sql_join_style,nat,24,1.0,0.98,0.02
sql_join_style,nat,24,2.0,0.84,0.16
sql_join_style,nat,24,4.0,0.52,0.48
sql_join_style,alt,24,0.0,0.0,0.06
sql_join_style,alt,24,0.5,0.02,0.04
sql_join_style,alt,24,1.0,0.28,0.04
sql_join_style,alt,24,2.0,0.4,0.24
sql_join_style,alt,24,4.0,0.7,0.28
r_assignment,nat,24,0.0,0.94,0.0
r_assignment,nat,24,0.5,1.0,0.0
r_assignment,nat,24,1.0,0.98,0.0
r_assignment,nat,24,2.0,1.0,0.0
r_assignment,nat,24,4.0,1.0,0.0
r_assignment,alt,24,0.0,0.06,0.0
r_assignment,alt,24,0.5,0.18,0.0
r_assignment,alt,24,1.0,0.26,0.0
r_assignment,alt,24,2.0,0.56,0.04
r_assignment,alt,24,4.0,0.94,0.04
rust_question,nat,24,0.0,0.8,0.14
rust_question,nat,24,0.5,0.68,0.28
rust_question,nat,24,1.0,0.8,0.18
rust_question,nat,24,2.0,0.74,0.2
rust_question,nat,24,4.0,0.38,0.58
rust_question,alt,24,0.0,0.06,0.14
rust_question,alt,24,0.5,0.04,0.26
rust_question,alt,24,1.0,0.1,0.34
rust_question,alt,24,2.0,0.12,0.42
rust_question,alt,24,4.0,0.12,0.76
bash_test,nat,24,0.0,0.14,0.06
bash_test,nat,24,0.5,0.16,0.06
bash_test,nat,24,1.0,0.34,0.04
bash_test,nat,24,2.0,0.48,0.02
bash_test,nat,24,4.0,0.44,0.26
bash_test,alt,24,0.0,0.8,0.06
bash_test,alt,24,0.5,0.8,0.02
bash_test,alt,24,1.0,0.88,0.02
bash_test,alt,24,2.0,0.92,0.04
bash_test,alt,24,4.0,0.98,0.02
php_array,nat,24,0.0,0.3,0.48
php_array,nat,24,0.5,0.34,0.5
php_array,nat,24,1.0,0.38,0.56
php_array,nat,24,2.0,0.38,0.52
php_array,nat,24,4.0,0.4,0.58
php_array,alt,24,0.0,0.22,0.48
php_array,alt,24,0.5,0.28,0.54
php_array,alt,24,1.0,0.42,0.44
php_array,alt,24,2.0,0.56,0.34
php_array,alt,24,4.0,0.88,0.12
