icl_example_index,token_role,layer,k_act,k_fv,feature_dim,target_dim,best_alpha,cv_mse,alpha_pinned,train_sample_count,test_sample_count,train_mse,test_mse,pca_train_mse,pca_test_mse,fv_recon_floor_test_mse,train_mean_squared_l2,test_mean_squared_l2
4,pre_label_token,26,16,16,16,16,1000.0,80.9463119506836,False,3400,1190,0.05200948462766759,0.23554239673774782,11.320125247730928,14.729141517446822,0.1780068725347519,213.03085018382353,964.7816767331933
4,pre_label_token,27,16,16,16,16,1000.0,81.09343719482422,False,3400,1190,0.05277361364925609,0.23791510638068705,11.515742761948529,15.336555647649686,0.1780068725347519,216.16072035845588,974.500259322479
4,pre_label_token,28,16,16,16,16,316.22776601683796,73.49836730957031,False,3400,1190,0.0410222458488801,0.241241735570571,8.50739002900965,16.18817025833771,0.1780068725347519,168.02711885340074,988.1261127888655
4,first_label_token,0,16,16,16,16,3162.2776601683795,84.449462890625,False,3400,1190,0.21150438196518842,0.2971150518465443,52.15083093979779,30.491744969472165,0.1780068725347519,866.3219485294118,1216.9832786239497
4,first_label_token,1,16,16,16,16,1000.0,76.94329071044922,False,3400,1190,0.1483053786614362,0.27464717255920923,35.97187413832721,24.73994838169643,0.1780068725347519,607.4588424862133,1124.954812237395
4,first_label_token,2,16,16,16,16,1000.0,73.87305450439453,False,3400,1190,0.13601843497332405,0.2675279040296539,32.82641475901884,22.917416151030725,0.1780068725347519,557.1315153952206,1095.794275210084
4,first_label_token,3,16,16,16,16,1000.0,73.81497192382812,False,3400,1190,0.13077227059532615,0.26699824693824065,31.483398509306067,22.78182937237395,0.1780068725347519,535.6432209329045,1093.6248358718487
4,first_label_token,4,16,16,16,16,1000.0,69.11921691894531,False,3400,1190,0.11169349866754869,0.25238685768191554,26.599232859892005,19.041302951844802,0.1780068725347519,457.4965837545956,1033.776569065126
4,first_label_token,5,16,16,16,16,1000.0,66.5164794921875,False,3400,1190,0.09656238892499139,0.24630491433023405,22.725670596852023,17.484321145450366,0.1780068725347519,395.51953929227943,1008.8649159663865
4,first_label_token,6,16,16,16,16,316.22776601683796,64.62350463867188,False,3400,1190,0.07492042211925282,0.24305340101738937,17.185328782025504,16.651929941898633,0.1780068725347519,306.87405158547796,995.5467305672269
4,first_label_token,7,16,16,16,16,316.22776601683796,65.92993927001953,False,3400,1190,0.0688972569213194,0.22978611312994435,15.6434009327608,13.255509730747768,0.1780068725347519,282.20316607306984,941.2038865546218
4,first_label_token,8,16,16,16,16,316.22776601683796,63.51665496826172,False,3400,1190,0.0641003167629242,0.2269970637409627,14.415384108599495,12.541514266839549,0.1780068725347519,262.5549009076287,929.7799665178571
4,first_label_token,9,16,16,16,16,316.22776601683796,64.41973876953125,False,3400,1190,0.05988308818901286,0.2249471520175453,13.335772381950827,12.016736198874082,0.1780068725347519,245.28112936580882,921.3835084033614
4,first_label_token,10,16,16,16,16,316.22776601683796,61.068389892578125,False,3400,1190,0.053627015422372255,0.22074409933651196,11.734215949563419,10.940749839975053,0.1780068725347519,219.65625517003676,904.1678637079832
4,first_label_token,11,16,16,16,16,316.22776601683796,61.215057373046875,False,3400,1190,0.05034507877686444,0.21687869224227777,10.894040347828584,9.951205623851102,0.1780068725347519,206.2134423828125,888.3350938813026
4,first_label_token,12,16,16,16,16,316.22776601683796,60.46467971801758,False,3400,1190,0.052679062240263995,0.21981480782773313,11.491540024701287,10.702845110212053,0.1780068725347519,215.77343347886028,900.3614233193277
4,first_label_token,13,16,16,16,16,316.22776601683796,60.47470474243164,False,3400,1190,0.05022951171678655,0.2174197349227777,10.86445474063649,10.089715217141544,0.1780068725347519,205.74008171530332,890.5512178308824
